Wyckoff pos.|2a(23)|2a(23)|2a(23)|2a(23)|6b(222)|6b(222)|6b(222)|6b(222)|6c(-4)|6c(-4)|6c(-4)|6c(-4)|6d(-4)|6d(-4)|6d(-4)|6d(-4)|2a(23)|2a(23)|2a(23)|6c(-4)|6c(-4)|6c(-4)|6c(-4)|6d(-4)|6d(-4)|6d(-4)|6d(-4)
Band-Rep.|A↑G(2)|¹E↑G(2)|²E↑G(2)|T↑G(6)|A↑G(6)|B₁↑G(6)|B₂↑G(6)|B₃↑G(6)|A↑G(6)|B↑G(6)|¹E↑G(6)|²E↑G(6)|A↑G(6)|B↑G(6)|¹E↑G(6)|²E↑G(6)|Eˢ↑G(4)|¹Fˢ↑G(4)|²Fˢ↑G(4)|¹E₁ˢ↑G(6)|¹E₂ˢ↑G(6)|²E₁ˢ↑G(6)|²E₂ˢ↑G(6)|¹E₁ˢ↑G(6)|¹E₂ˢ↑G(6)|²E₁ˢ↑G(6)|²E₂ˢ↑G(6)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|true|false|false|true|true|true|true|true|true|true|true
Γ:(0,0,0)|Γ₁(1)⊕Γ₂(1)|Γ₃(2)|Γ₃(2)|Γ₄(3)⊕Γ₅(3)|Γ₁(1)⊕Γ₂(1)⊕2Γ₃(2)|Γ₄(3)⊕Γ₅(3)|Γ₄(3)⊕Γ₅(3)|Γ₄(3)⊕Γ₅(3)|Γ₁(1)⊕Γ₃(2)⊕Γ₅(3)|Γ₂(1)⊕Γ₃(2)⊕Γ₄(3)|Γ₄(3)⊕Γ₅(3)|Γ₄(3)⊕Γ₅(3)|Γ₁(1)⊕Γ₃(2)⊕Γ₅(3)|Γ₂(1)⊕Γ₃(2)⊕Γ₄(3)|Γ₄(3)⊕Γ₅(3)|Γ₄(3)⊕Γ₅(3)|Γ₆ˢ(2)⊕Γ₇ˢ(2)|Γ₈ˢ(4)|Γ₈ˢ(4)|Γ₆ˢ(2)⊕Γ₈ˢ(4)|Γ₇ˢ(2)⊕Γ₈ˢ(4)|Γ₆ˢ(2)⊕Γ₈ˢ(4)|Γ₇ˢ(2)⊕Γ₈ˢ(4)|Γ₆ˢ(2)⊕Γ₈ˢ(4)|Γ₇ˢ(2)⊕Γ₈ˢ(4)|Γ₆ˢ(2)⊕Γ₈ˢ(4)|Γ₇ˢ(2)⊕Γ₈ˢ(4)
R:(1/2,1/2,1/2)|R₁(1)⊕R₂(1)|R₃(2)|R₃(2)|R₄(3)⊕R₅(3)|R₄(3)⊕R₅(3)|R₄(3)⊕R₅(3)|R₄(3)⊕R₅(3)|R₁(1)⊕R₂(1)⊕2R₃(2)|R₄(3)⊕R₅(3)|R₄(3)⊕R₅(3)|R₂(1)⊕R₃(2)⊕R₄(3)|R₁(1)⊕R₃(2)⊕R₅(3)|R₄(3)⊕R₅(3)|R₄(3)⊕R₅(3)|R₁(1)⊕R₃(2)⊕R₅(3)|R₂(1)⊕R₃(2)⊕R₄(3)|R₆ˢ(2)⊕R₇ˢ(2)|R₈ˢ(4)|R₈ˢ(4)|R₆ˢ(2)⊕R₈ˢ(4)|R₇ˢ(2)⊕R₈ˢ(4)|R₇ˢ(2)⊕R₈ˢ(4)|R₆ˢ(2)⊕R₈ˢ(4)|R₇ˢ(2)⊕R₈ˢ(4)|R₆ˢ(2)⊕R₈ˢ(4)|R₆ˢ(2)⊕R₈ˢ(4)|R₇ˢ(2)⊕R₈ˢ(4)
M:(1/2,1/2,0)|M₅(2)|M₅(2)|M₅(2)|M₁(1)⊕M₂(1)⊕M₃(1)⊕M₄(1)⊕M₅(2)|M₁(1)⊕M₂(1)⊕M₃(1)⊕M₄(1)⊕M₅(2)|2M₁(1)⊕2M₂(1)⊕M₅(2)|2M₃(1)⊕2M₄(1)⊕M₅(2)|3M₅(2)|M₂(1)⊕2M₃(1)⊕M₄(1)⊕M₅(2)|M₁(1)⊕M₃(1)⊕2M₄(1)⊕M₅(2)|M₁(1)⊕M₂(1)⊕2M₅(2)|M₁(1)⊕M₂(1)⊕2M₅(2)|2M₁(1)⊕M₂(1)⊕M₄(1)⊕M₅(2)|M₁(1)⊕2M₂(1)⊕M₃(1)⊕M₅(2)|M₃(1)⊕M₄(1)⊕2M₅(2)|M₃(1)⊕M₄(1)⊕2M₅(2)|M₆ˢ(2)⊕M₇ˢ(2)|M₆ˢ(2)⊕M₇ˢ(2)|M₆ˢ(2)⊕M₇ˢ(2)|M₆ˢ(2)⊕2M₇ˢ(2)|2M₆ˢ(2)⊕M₇ˢ(2)|M₆ˢ(2)⊕2M₇ˢ(2)|2M₆ˢ(2)⊕M₇ˢ(2)|2M₆ˢ(2)⊕M₇ˢ(2)|M₆ˢ(2)⊕2M₇ˢ(2)|2M₆ˢ(2)⊕M₇ˢ(2)|M₆ˢ(2)⊕2M₇ˢ(2)
X:(0,1/2,0)|X₅(2)|X₅(2)|X₅(2)|X₁(1)⊕X₂(1)⊕X₃(1)⊕X₄(1)⊕X₅(2)|3X₅(2)|2X₃(1)⊕2X₄(1)⊕X₅(2)|2X₁(1)⊕2X₂(1)⊕X₅(2)|X₁(1)⊕X₂(1)⊕X₃(1)⊕X₄(1)⊕X₅(2)|X₁(1)⊕X₂(1)⊕2X₅(2)|X₁(1)⊕X₂(1)⊕2X₅(2)|X₁(1)⊕X₃(1)⊕2X₄(1)⊕X₅(2)|X₂(1)⊕2X₃(1)⊕X₄(1)⊕X₅(2)|X₃(1)⊕X₄(1)⊕2X₅(2)|X₃(1)⊕X₄(1)⊕2X₅(2)|2X₁(1)⊕X₂(1)⊕X₄(1)⊕X₅(2)|X₁(1)⊕2X₂(1)⊕X₃(1)⊕X₅(2)|X₆ˢ(2)⊕X₇ˢ(2)|X₆ˢ(2)⊕X₇ˢ(2)|X₆ˢ(2)⊕X₇ˢ(2)|2X₆ˢ(2)⊕X₇ˢ(2)|X₆ˢ(2)⊕2X₇ˢ(2)|X₆ˢ(2)⊕2X₇ˢ(2)|2X₆ˢ(2)⊕X₇ˢ(2)|2X₆ˢ(2)⊕X₇ˢ(2)|X₆ˢ(2)⊕2X₇ˢ(2)|X₆ˢ(2)⊕2X₇ˢ(2)|2X₆ˢ(2)⊕X₇ˢ(2)
Λ:(u,u,u)|Λ₁(1)⊕Λ₂(1)|Λ₃(2)|Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|2Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕2Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕2Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕2Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕2Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕2Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕2Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕2Λ₆ˢ(2)|Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕2Λ₆ˢ(2)
Δ:(0,v,0)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|3Δ₁(1)⊕3Δ₂(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|2Δ₁(1)⊕2Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|2Δ₁(1)⊕2Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|2Δ₁(1)⊕2Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|2Δ₁(1)⊕2Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|2Δ₅ˢ(2)|2Δ₅ˢ(2)|2Δ₅ˢ(2)|3Δ₅ˢ(2)|3Δ₅ˢ(2)|3Δ₅ˢ(2)|3Δ₅ˢ(2)|3Δ₅ˢ(2)|3Δ₅ˢ(2)|3Δ₅ˢ(2)|3Δ₅ˢ(2)
T:(1/2,1/2,w)|T₁(1)⊕T₂(1)|T₁(1)⊕T₂(1)|T₁(1)⊕T₂(1)|T₁(1)⊕T₂(1)⊕2T₃(1)⊕2T₄(1)|T₁(1)⊕T₂(1)⊕2T₃(1)⊕2T₄(1)|T₁(1)⊕T₂(1)⊕2T₃(1)⊕2T₄(1)|T₁(1)⊕T₂(1)⊕2T₃(1)⊕2T₄(1)|3T₁(1)⊕3T₂(1)|T₁(1)⊕T₂(1)⊕2T₃(1)⊕2T₄(1)|T₁(1)⊕T₂(1)⊕2T₃(1)⊕2T₄(1)|2T₁(1)⊕2T₂(1)⊕T₃(1)⊕T₄(1)|2T₁(1)⊕2T₂(1)⊕T₃(1)⊕T₄(1)|T₁(1)⊕T₂(1)⊕2T₃(1)⊕2T₄(1)|T₁(1)⊕T₂(1)⊕2T₃(1)⊕2T₄(1)|2T₁(1)⊕2T₂(1)⊕T₃(1)⊕T₄(1)|2T₁(1)⊕2T₂(1)⊕T₃(1)⊕T₄(1)|2T₅ˢ(2)|2T₅ˢ(2)|2T₅ˢ(2)|3T₅ˢ(2)|3T₅ˢ(2)|3T₅ˢ(2)|3T₅ˢ(2)|3T₅ˢ(2)|3T₅ˢ(2)|3T₅ˢ(2)|3T₅ˢ(2)
