Wyckoff pos.|2a(32)|2a(32)|2b(-3)|2b(-3)|2b(-3)|2b(-3)|2b(-3)|2b(-3)|2c(32)|2c(32)|2c(32)|2d(32)|2d(32)|2d(32)|6g(-1)|6g(-1)|2a(32)|2a(32)|2b(-3)|2b(-3)|2b(-3)|2b(-3)|2b(-3)|2b(-3)|2c(32)|2c(32)|2c(32)|2d(32)|2d(32)|2d(32)|6g(-1)|6g(-1)
Band-Rep.|A₁↑G(2)|A₂↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|¹Eg↑G(2)|¹Eᵤ↑G(2)|²Eg↑G(2)|²Eᵤ↑G(2)|A₁↑G(2)|A₂↑G(2)|E↑G(4)|A₁↑G(2)|A₂↑G(2)|E↑G(4)|Ag↑G(6)|Aᵤ↑G(6)|¹Eˢ↑G(2)|²Eˢ↑G(2)|¹Eˢg↑G(2)|¹Eˢᵤ↑G(2)|²Eˢg↑G(2)|²Eˢᵤ↑G(2)|Eˢg↑G(2)|Eˢᵤ↑G(2)|¹Eˢ↑G(2)|²Eˢ↑G(2)|Eˢ₁↑G(4)|¹Eˢ↑G(2)|²Eˢ↑G(2)|Eˢ₁↑G(4)|Aˢg↑G(6)|Aˢᵤ↑G(6)
Decomposable|false|false|false|false|false|false|false|false|false|false|true|false|false|true|true|true|false|false|false|false|false|false|false|false|false|false|true|false|false|true|true|true
A:(0,0,1/2)|A₃(2)|A₃(2)|A₃(2)|A₃(2)|A₁(2)|A₂(2)|A₂(2)|A₁(2)|A₃(2)|A₃(2)|A₁(2)⊕A₂(2)|A₃(2)|A₃(2)|A₁(2)⊕A₂(2)|A₁(2)⊕A₂(2)⊕A₃(2)|A₁(2)⊕A₂(2)⊕A₃(2)|Aˢ₄(2)|Aˢ₄(2)|Aˢ₆(2)|Aˢ₅(2)|Aˢ₅(2)|Aˢ₆(2)|Aˢ₄(2)|Aˢ₄(2)|Aˢ₄(2)|Aˢ₄(2)|Aˢ₅(2)⊕Aˢ₆(2)|Aˢ₄(2)|Aˢ₄(2)|Aˢ₅(2)⊕Aˢ₆(2)|Aˢ₄(2)⊕Aˢ₅(2)⊕Aˢ₆(2)|Aˢ₄(2)⊕Aˢ₅(2)⊕Aˢ₆(2)
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₁⁻(1)|Γ₂⁺(1)⊕Γ₂⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₃⁺(2)|Γ₃⁻(2)|Γ₃⁺(2)|Γ₃⁻(2)|Γ₁⁺(1)⊕Γ₁⁻(1)|Γ₂⁺(1)⊕Γ₂⁻(1)|Γ₃⁺(2)⊕Γ₃⁻(2)|Γ₁⁺(1)⊕Γ₁⁻(1)|Γ₂⁺(1)⊕Γ₂⁻(1)|Γ₃⁺(2)⊕Γ₃⁻(2)|Γ₁⁺(1)⊕Γ₂⁺(1)⊕2Γ₃⁺(2)|Γ₁⁻(1)⊕Γ₂⁻(1)⊕2Γ₃⁻(2)|Γˢ₄(1)⊕Γˢ₆(1)|Γˢ₅(1)⊕Γˢ₇(1)|Γˢ₈(2)|Γˢ₉(2)|Γˢ₈(2)|Γˢ₉(2)|Γˢ₄(1)⊕Γˢ₅(1)|Γˢ₆(1)⊕Γˢ₇(1)|Γˢ₄(1)⊕Γˢ₆(1)|Γˢ₅(1)⊕Γˢ₇(1)|Γˢ₈(2)⊕Γˢ₉(2)|Γˢ₄(1)⊕Γˢ₆(1)|Γˢ₅(1)⊕Γˢ₇(1)|Γˢ₈(2)⊕Γˢ₉(2)|Γˢ₄(1)⊕Γˢ₅(1)⊕2Γˢ₈(2)|Γˢ₆(1)⊕Γˢ₇(1)⊕2Γˢ₉(2)
H:(1/3,1/3,1/2)|H₁(1)⊕H₂(1)|H₁(1)⊕H₂(1)|H₁(1)⊕H₂(1)|H₁(1)⊕H₂(1)|H₃(2)|H₃(2)|H₃(2)|H₃(2)|H₃(2)|H₃(2)|H₁(1)⊕H₂(1)⊕H₃(2)|H₃(2)|H₃(2)|H₁(1)⊕H₂(1)⊕H₃(2)|H₁(1)⊕H₂(1)⊕2H₃(2)|H₁(1)⊕H₂(1)⊕2H₃(2)|Hˢ₄(1)⊕Hˢ₅(1)|Hˢ₄(1)⊕Hˢ₅(1)|Hˢ₆(2)|Hˢ₆(2)|Hˢ₆(2)|Hˢ₆(2)|Hˢ₄(1)⊕Hˢ₅(1)|Hˢ₄(1)⊕Hˢ₅(1)|Hˢ₆(2)|Hˢ₆(2)|Hˢ₄(1)⊕Hˢ₅(1)⊕Hˢ₆(2)|Hˢ₆(2)|Hˢ₆(2)|Hˢ₄(1)⊕Hˢ₅(1)⊕Hˢ₆(2)|Hˢ₄(1)⊕Hˢ₅(1)⊕2Hˢ₆(2)|Hˢ₄(1)⊕Hˢ₅(1)⊕2Hˢ₆(2)
K:(1/3,1/3,0)|K₁(1)⊕K₂(1)|K₁(1)⊕K₂(1)|K₁(1)⊕K₂(1)|K₁(1)⊕K₂(1)|K₃(2)|K₃(2)|K₃(2)|K₃(2)|K₃(2)|K₃(2)|K₁(1)⊕K₂(1)⊕K₃(2)|K₃(2)|K₃(2)|K₁(1)⊕K₂(1)⊕K₃(2)|K₁(1)⊕K₂(1)⊕2K₃(2)|K₁(1)⊕K₂(1)⊕2K₃(2)|Kˢ₄(1)⊕Kˢ₅(1)|Kˢ₄(1)⊕Kˢ₅(1)|Kˢ₆(2)|Kˢ₆(2)|Kˢ₆(2)|Kˢ₆(2)|Kˢ₄(1)⊕Kˢ₅(1)|Kˢ₄(1)⊕Kˢ₅(1)|Kˢ₆(2)|Kˢ₆(2)|Kˢ₄(1)⊕Kˢ₅(1)⊕Kˢ₆(2)|Kˢ₆(2)|Kˢ₆(2)|Kˢ₄(1)⊕Kˢ₅(1)⊕Kˢ₆(2)|Kˢ₄(1)⊕Kˢ₅(1)⊕2Kˢ₆(2)|Kˢ₄(1)⊕Kˢ₅(1)⊕2Kˢ₆(2)
L:(1/2,0,1/2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|L₁(2)|2L₁(2)|L₁(2)|L₁(2)|2L₁(2)|3L₁(2)|3L₁(2)|Lˢ₂(2)|Lˢ₂(2)|Lˢ₂(2)|Lˢ₂(2)|Lˢ₂(2)|Lˢ₂(2)|Lˢ₂(2)|Lˢ₂(2)|Lˢ₂(2)|Lˢ₂(2)|2Lˢ₂(2)|Lˢ₂(2)|Lˢ₂(2)|2Lˢ₂(2)|3Lˢ₂(2)|3Lˢ₂(2)
M:(1/2,0,0)|M₁⁺(1)⊕M₁⁻(1)|M₂⁺(1)⊕M₂⁻(1)|M₁⁺(1)⊕M₂⁺(1)|M₁⁻(1)⊕M₂⁻(1)|M₁⁺(1)⊕M₂⁺(1)|M₁⁻(1)⊕M₂⁻(1)|M₁⁺(1)⊕M₂⁺(1)|M₁⁻(1)⊕M₂⁻(1)|M₁⁺(1)⊕M₁⁻(1)|M₂⁺(1)⊕M₂⁻(1)|M₁⁺(1)⊕M₁⁻(1)⊕M₂⁺(1)⊕M₂⁻(1)|M₁⁺(1)⊕M₁⁻(1)|M₂⁺(1)⊕M₂⁻(1)|M₁⁺(1)⊕M₁⁻(1)⊕M₂⁺(1)⊕M₂⁻(1)|M₁⁺(1)⊕2M₁⁻(1)⊕M₂⁺(1)⊕2M₂⁻(1)|2M₁⁺(1)⊕M₁⁻(1)⊕2M₂⁺(1)⊕M₂⁻(1)|Mˢ₃(1)⊕Mˢ₅(1)|Mˢ₄(1)⊕Mˢ₆(1)|Mˢ₃(1)⊕Mˢ₄(1)|Mˢ₅(1)⊕Mˢ₆(1)|Mˢ₃(1)⊕Mˢ₄(1)|Mˢ₅(1)⊕Mˢ₆(1)|Mˢ₃(1)⊕Mˢ₄(1)|Mˢ₅(1)⊕Mˢ₆(1)|Mˢ₃(1)⊕Mˢ₅(1)|Mˢ₄(1)⊕Mˢ₆(1)|Mˢ₃(1)⊕Mˢ₄(1)⊕Mˢ₅(1)⊕Mˢ₆(1)|Mˢ₃(1)⊕Mˢ₅(1)|Mˢ₄(1)⊕Mˢ₆(1)|Mˢ₃(1)⊕Mˢ₄(1)⊕Mˢ₅(1)⊕Mˢ₆(1)|Mˢ₃(1)⊕Mˢ₄(1)⊕2Mˢ₅(1)⊕2Mˢ₆(1)|2Mˢ₃(1)⊕2Mˢ₄(1)⊕Mˢ₅(1)⊕Mˢ₆(1)
Δ:(0,0,w)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₃(2)|Δ₃(2)|Δ₃(2)|Δ₃(2)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|2Δ₃(2)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|2Δ₃(2)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(2)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(2)|Δˢ₄(1)⊕Δˢ₅(1)|Δˢ₄(1)⊕Δˢ₅(1)|Δˢ₆(2)|Δˢ₆(2)|Δˢ₆(2)|Δˢ₆(2)|Δˢ₄(1)⊕Δˢ₅(1)|Δˢ₄(1)⊕Δˢ₅(1)|Δˢ₄(1)⊕Δˢ₅(1)|Δˢ₄(1)⊕Δˢ₅(1)|2Δˢ₆(2)|Δˢ₄(1)⊕Δˢ₅(1)|Δˢ₄(1)⊕Δˢ₅(1)|2Δˢ₆(2)|Δˢ₄(1)⊕Δˢ₅(1)⊕2Δˢ₆(2)|Δˢ₄(1)⊕Δˢ₅(1)⊕2Δˢ₆(2)
