Wyckoff pos.|8a(432)|8a(432)|8a(432)|8a(432)|8a(432)|8b(m-3)|8b(m-3)|8b(m-3)|8b(m-3)|8b(m-3)|8b(m-3)|8b(m-3)|8b(m-3)|24c(-42m)|24c(-42m)|24c(-42m)|24c(-42m)|24d(4/m)|24d(4/m)|24d(4/m)|24d(4/m)|24d(4/m)|24d(4/m)|24d(4/m)|24d(4/m)|8a(432)|8a(432)|8a(432)|8b(m-3)|8b(m-3)|8b(m-3)|8b(m-3)|8b(m-3)|8b(m-3)|24c(-42m)|24c(-42m)|24d(4/m)|24d(4/m)|24d(4/m)|24d(4/m)|24d(4/m)|24d(4/m)|24d(4/m)|24d(4/m)
Band-Rep.|A₁↑G(2)|A₂↑G(2)|E↑G(4)|T₁↑G(6)|T₂↑G(6)|¹Aᵤ↑G(2)|Ag↑G(2)|¹Eg↑G(2)|¹Eᵤ↑G(2)|²Eg↑G(2)|²Eᵤ↑G(2)|Tg↑G(6)|Tᵤ↑G(6)|A₁↑G(6)|A₂↑G(6)|B₁↑G(6)|B₂↑G(6)|Ag↑G(6)|Aᵤ↑G(6)|Bg↑G(6)|Bᵤ↑G(6)|¹Eg↑G(6)|¹Eᵤ↑G(6)|²Eg↑G(6)|²Eᵤ↑G(6)|Eˢ₁↑G(4)|Eˢ₂↑G(4)|Fˢ↑G(8)|Eˢg↑G(4)|Eˢᵤ↑G(4)|¹Fˢg↑G(4)|¹Fˢᵤ↑G(4)|²Fˢg↑G(4)|²Fˢᵤ↑G(4)|Eˢ₁↑G(12)|Eˢ₂↑G(12)|¹Eˢ₁g↑G(6)|¹Eˢ₁ᵤ↑G(6)|¹Eˢ₂g↑G(6)|¹Eˢ₂ᵤ↑G(6)|²Eˢ₁g↑G(6)|²Eˢ₁ᵤ↑G(6)|²Eˢ₂g↑G(6)|²Eˢ₂ᵤ↑G(6)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|true|true|true|true|false|false|false|false|false|false|false|false|true|true|true|true|true|false|false|false|false|true|true|true|true|true|true|true|true|true|true
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₁⁻(1)|Γ₂⁺(1)⊕Γ₂⁻(1)|Γ₃⁺(2)⊕Γ₃⁻(2)|Γ₄⁺(3)⊕Γ₄⁻(3)|Γ₅⁺(3)⊕Γ₅⁻(3)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₃⁺(2)|Γ₃⁻(2)|Γ₃⁺(2)|Γ₃⁻(2)|Γ₄⁺(3)⊕Γ₅⁺(3)|Γ₄⁻(3)⊕Γ₅⁻(3)|Γ₁⁺(1)⊕Γ₃⁺(2)⊕Γ₅⁻(3)|Γ₁⁻(1)⊕Γ₃⁻(2)⊕Γ₅⁺(3)|Γ₂⁺(1)⊕Γ₃⁺(2)⊕Γ₄⁻(3)|Γ₂⁻(1)⊕Γ₃⁻(2)⊕Γ₄⁺(3)|Γ₁⁺(1)⊕Γ₃⁺(2)⊕Γ₄⁺(3)|Γ₁⁻(1)⊕Γ₃⁻(2)⊕Γ₄⁻(3)|Γ₂⁺(1)⊕Γ₃⁺(2)⊕Γ₅⁺(3)|Γ₂⁻(1)⊕Γ₃⁻(2)⊕Γ₅⁻(3)|Γ₄⁺(3)⊕Γ₅⁺(3)|Γ₄⁻(3)⊕Γ₅⁻(3)|Γ₄⁺(3)⊕Γ₅⁺(3)|Γ₄⁻(3)⊕Γ₅⁻(3)|Γˢ₆(2)⊕Γˢ₈(2)|Γˢ₇(2)⊕Γˢ₉(2)|Γˢ₁₀(4)⊕Γˢ₁₁(4)|Γˢ₆(2)⊕Γˢ₇(2)|Γˢ₈(2)⊕Γˢ₉(2)|Γˢ₁₀(4)|Γˢ₁₁(4)|Γˢ₁₀(4)|Γˢ₁₁(4)|Γˢ₆(2)⊕Γˢ₉(2)⊕Γˢ₁₀(4)⊕Γˢ₁₁(4)|Γˢ₇(2)⊕Γˢ₈(2)⊕Γˢ₁₀(4)⊕Γˢ₁₁(4)|Γˢ₆(2)⊕Γˢ₁₀(4)|Γˢ₈(2)⊕Γˢ₁₁(4)|Γˢ₇(2)⊕Γˢ₁₀(4)|Γˢ₉(2)⊕Γˢ₁₁(4)|Γˢ₆(2)⊕Γˢ₁₀(4)|Γˢ₈(2)⊕Γˢ₁₁(4)|Γˢ₇(2)⊕Γˢ₁₀(4)|Γˢ₉(2)⊕Γˢ₁₁(4)
X:(0,1,0)|X₄⁺(1)⊕X₄⁻(1)|X₃⁺(1)⊕X₃⁻(1)|X₃⁺(1)⊕X₃⁻(1)⊕X₄⁺(1)⊕X₄⁻(1)|X₂⁺(1)⊕X₂⁻(1)⊕X₅⁺(2)⊕X₅⁻(2)|X₁⁺(1)⊕X₁⁻(1)⊕X₅⁺(2)⊕X₅⁻(2)|X₁⁻(1)⊕X₂⁻(1)|X₁⁺(1)⊕X₂⁺(1)|X₁⁺(1)⊕X₂⁺(1)|X₁⁻(1)⊕X₂⁻(1)|X₁⁺(1)⊕X₂⁺(1)|X₁⁻(1)⊕X₂⁻(1)|X₃⁺(1)⊕X₄⁺(1)⊕2X₅⁺(2)|X₃⁻(1)⊕X₄⁻(1)⊕2X₅⁻(2)|2X₁⁺(1)⊕X₂⁺(1)⊕X₄⁻(1)⊕X₅⁻(2)|2X₁⁻(1)⊕X₂⁻(1)⊕X₄⁺(1)⊕X₅⁺(2)|X₁⁺(1)⊕2X₂⁺(1)⊕X₃⁻(1)⊕X₅⁻(2)|X₁⁻(1)⊕2X₂⁻(1)⊕X₃⁺(1)⊕X₅⁺(2)|X₂⁺(1)⊕X₃⁻(1)⊕X₄⁺(1)⊕X₄⁻(1)⊕X₅⁻(2)|X₂⁻(1)⊕X₃⁺(1)⊕X₄⁺(1)⊕X₄⁻(1)⊕X₅⁺(2)|X₁⁺(1)⊕X₃⁺(1)⊕X₃⁻(1)⊕X₄⁻(1)⊕X₅⁻(2)|X₁⁻(1)⊕X₃⁺(1)⊕X₃⁻(1)⊕X₄⁺(1)⊕X₅⁺(2)|X₁⁻(1)⊕X₂⁻(1)⊕X₅⁺(2)⊕X₅⁻(2)|X₁⁺(1)⊕X₂⁺(1)⊕X₅⁺(2)⊕X₅⁻(2)|X₁⁻(1)⊕X₂⁻(1)⊕X₅⁺(2)⊕X₅⁻(2)|X₁⁺(1)⊕X₂⁺(1)⊕X₅⁺(2)⊕X₅⁻(2)|Xˢ₇(2)⊕Xˢ₉(2)|Xˢ₆(2)⊕Xˢ₈(2)|Xˢ₆(2)⊕Xˢ₇(2)⊕Xˢ₈(2)⊕Xˢ₉(2)|Xˢ₆(2)⊕Xˢ₇(2)|Xˢ₈(2)⊕Xˢ₉(2)|Xˢ₆(2)⊕Xˢ₇(2)|Xˢ₈(2)⊕Xˢ₉(2)|Xˢ₆(2)⊕Xˢ₇(2)|Xˢ₈(2)⊕Xˢ₉(2)|2Xˢ₆(2)⊕Xˢ₇(2)⊕Xˢ₈(2)⊕2Xˢ₉(2)|Xˢ₆(2)⊕2Xˢ₇(2)⊕2Xˢ₈(2)⊕Xˢ₉(2)|Xˢ₇(2)⊕Xˢ₈(2)⊕Xˢ₉(2)|Xˢ₆(2)⊕Xˢ₇(2)⊕Xˢ₉(2)|Xˢ₆(2)⊕Xˢ₈(2)⊕Xˢ₉(2)|Xˢ₆(2)⊕Xˢ₇(2)⊕Xˢ₈(2)|Xˢ₇(2)⊕Xˢ₈(2)⊕Xˢ₉(2)|Xˢ₆(2)⊕Xˢ₇(2)⊕Xˢ₉(2)|Xˢ₆(2)⊕Xˢ₈(2)⊕Xˢ₉(2)|Xˢ₆(2)⊕Xˢ₇(2)⊕Xˢ₈(2)
L:(1/2,1/2,1/2)|L₃(2)|L₃(2)|L₁(2)⊕L₂(2)|L₁(2)⊕L₂(2)⊕L₃(2)|L₁(2)⊕L₂(2)⊕L₃(2)|L₃(2)|L₃(2)|L₂(2)|L₁(2)|L₁(2)|L₂(2)|L₁(2)⊕L₂(2)⊕L₃(2)|L₁(2)⊕L₂(2)⊕L₃(2)|L₁(2)⊕L₂(2)⊕L₃(2)|L₁(2)⊕L₂(2)⊕L₃(2)|L₁(2)⊕L₂(2)⊕L₃(2)|L₁(2)⊕L₂(2)⊕L₃(2)|L₁(2)⊕L₂(2)⊕L₃(2)|L₁(2)⊕L₂(2)⊕L₃(2)|L₁(2)⊕L₂(2)⊕L₃(2)|L₁(2)⊕L₂(2)⊕L₃(2)|L₁(2)⊕L₂(2)⊕L₃(2)|L₁(2)⊕L₂(2)⊕L₃(2)|L₁(2)⊕L₂(2)⊕L₃(2)|L₁(2)⊕L₂(2)⊕L₃(2)|Lˢ₅(2)⊕Lˢ₆(2)|Lˢ₅(2)⊕Lˢ₆(2)|2Lˢ₄(2)⊕Lˢ₅(2)⊕Lˢ₆(2)|Lˢ₅(2)⊕Lˢ₆(2)|Lˢ₅(2)⊕Lˢ₆(2)|Lˢ₄(2)⊕Lˢ₆(2)|Lˢ₄(2)⊕Lˢ₅(2)|Lˢ₄(2)⊕Lˢ₅(2)|Lˢ₄(2)⊕Lˢ₆(2)|2Lˢ₄(2)⊕2Lˢ₅(2)⊕2Lˢ₆(2)|2Lˢ₄(2)⊕2Lˢ₅(2)⊕2Lˢ₆(2)|Lˢ₄(2)⊕Lˢ₅(2)⊕Lˢ₆(2)|Lˢ₄(2)⊕Lˢ₅(2)⊕Lˢ₆(2)|Lˢ₄(2)⊕Lˢ₅(2)⊕Lˢ₆(2)|Lˢ₄(2)⊕Lˢ₅(2)⊕Lˢ₆(2)|Lˢ₄(2)⊕Lˢ₅(2)⊕Lˢ₆(2)|Lˢ₄(2)⊕Lˢ₅(2)⊕Lˢ₆(2)|Lˢ₄(2)⊕Lˢ₅(2)⊕Lˢ₆(2)|Lˢ₄(2)⊕Lˢ₅(2)⊕Lˢ₆(2)
W:(1/2,1,0)|W₅(2)|W₅(2)|2W₅(2)|W₁(1)⊕W₂(1)⊕W₃(1)⊕W₄(1)⊕W₅(2)|W₁(1)⊕W₂(1)⊕W₃(1)⊕W₄(1)⊕W₅(2)|W₃(1)⊕W₄(1)|W₁(1)⊕W₂(1)|W₁(1)⊕W₂(1)|W₃(1)⊕W₄(1)|W₁(1)⊕W₂(1)|W₃(1)⊕W₄(1)|W₃(1)⊕W₄(1)⊕2W₅(2)|W₁(1)⊕W₂(1)⊕2W₅(2)|2W₁(1)⊕2W₂(1)⊕W₅(2)|2W₃(1)⊕2W₄(1)⊕W₅(2)|2W₁(1)⊕2W₂(1)⊕W₅(2)|2W₃(1)⊕2W₄(1)⊕W₅(2)|W₁(1)⊕W₂(1)⊕2W₅(2)|W₃(1)⊕W₄(1)⊕2W₅(2)|W₁(1)⊕W₂(1)⊕2W₅(2)|W₃(1)⊕W₄(1)⊕2W₅(2)|W₁(1)⊕2W₃(1)⊕W₄(1)⊕W₅(2)|W₁(1)⊕2W₂(1)⊕W₄(1)⊕W₅(2)|W₂(1)⊕W₃(1)⊕2W₄(1)⊕W₅(2)|2W₁(1)⊕W₂(1)⊕W₃(1)⊕W₅(2)|Wˢ₆(2)⊕Wˢ₇(2)|Wˢ₆(2)⊕Wˢ₇(2)|2Wˢ₆(2)⊕2Wˢ₇(2)|Wˢ₆(2)⊕Wˢ₇(2)|Wˢ₆(2)⊕Wˢ₇(2)|Wˢ₆(2)⊕Wˢ₇(2)|Wˢ₆(2)⊕Wˢ₇(2)|Wˢ₆(2)⊕Wˢ₇(2)|Wˢ₆(2)⊕Wˢ₇(2)|3Wˢ₆(2)⊕3Wˢ₇(2)|3Wˢ₆(2)⊕3Wˢ₇(2)|2Wˢ₆(2)⊕Wˢ₇(2)|Wˢ₆(2)⊕2Wˢ₇(2)|Wˢ₆(2)⊕2Wˢ₇(2)|2Wˢ₆(2)⊕Wˢ₇(2)|Wˢ₆(2)⊕2Wˢ₇(2)|2Wˢ₆(2)⊕Wˢ₇(2)|2Wˢ₆(2)⊕Wˢ₇(2)|Wˢ₆(2)⊕2Wˢ₇(2)
Δ:(0,v,0)|Δ₁(1)⊕Δ₄(1)|Δ₂(1)⊕Δ₃(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₂(1)⊕Δ₃(1)⊕2Δ₅(2)|Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)|Δ₃(1)⊕Δ₄(1)|Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕2Δ₅(2)|2Δ₁(1)⊕2Δ₂(1)⊕Δ₅(2)|2Δ₃(1)⊕2Δ₄(1)⊕Δ₅(2)|2Δ₁(1)⊕2Δ₂(1)⊕Δ₅(2)|2Δ₃(1)⊕2Δ₄(1)⊕Δ₅(2)|2Δ₁(1)⊕Δ₂(1)⊕Δ₄(1)⊕Δ₅(2)|Δ₁(1)⊕Δ₃(1)⊕2Δ₄(1)⊕Δ₅(2)|Δ₁(1)⊕2Δ₂(1)⊕Δ₃(1)⊕Δ₅(2)|Δ₂(1)⊕2Δ₃(1)⊕Δ₄(1)⊕Δ₅(2)|Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕2Δ₅(2)|Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕2Δ₅(2)|2Δˢ₇(2)|2Δˢ₆(2)|2Δˢ₆(2)⊕2Δˢ₇(2)|Δˢ₆(2)⊕Δˢ₇(2)|Δˢ₆(2)⊕Δˢ₇(2)|Δˢ₆(2)⊕Δˢ₇(2)|Δˢ₆(2)⊕Δˢ₇(2)|Δˢ₆(2)⊕Δˢ₇(2)|Δˢ₆(2)⊕Δˢ₇(2)|3Δˢ₆(2)⊕3Δˢ₇(2)|3Δˢ₆(2)⊕3Δˢ₇(2)|Δˢ₆(2)⊕2Δˢ₇(2)|Δˢ₆(2)⊕2Δˢ₇(2)|2Δˢ₆(2)⊕Δˢ₇(2)|2Δˢ₆(2)⊕Δˢ₇(2)|Δˢ₆(2)⊕2Δˢ₇(2)|Δˢ₆(2)⊕2Δˢ₇(2)|2Δˢ₆(2)⊕Δˢ₇(2)|2Δˢ₆(2)⊕Δˢ₇(2)
Λ:(u,u,u)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₃(2)|Λ₃(2)|Λ₃(2)|Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|2Λˢ₆(2)|2Λˢ₆(2)|2Λˢ₄(1)⊕2Λˢ₅(1)⊕2Λˢ₆(2)|2Λˢ₆(2)|2Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕Λˢ₆(2)|2Λˢ₄(1)⊕2Λˢ₅(1)⊕4Λˢ₆(2)|2Λˢ₄(1)⊕2Λˢ₅(1)⊕4Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕2Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕2Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕2Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕2Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕2Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕2Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕2Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕2Λˢ₆(2)
Σ:(u,u,0)|Σ₁(1)⊕Σ₄(1)|Σ₂(1)⊕Σ₃(1)|Σ₁(1)⊕Σ₂(1)⊕Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕2Σ₂(1)⊕2Σ₃(1)⊕Σ₄(1)|2Σ₁(1)⊕Σ₂(1)⊕Σ₃(1)⊕2Σ₄(1)|Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕Σ₂(1)|Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₂(1)|Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₂(1)⊕2Σ₃(1)⊕2Σ₄(1)|2Σ₁(1)⊕2Σ₂(1)⊕Σ₃(1)⊕Σ₄(1)|3Σ₁(1)⊕2Σ₂(1)⊕Σ₄(1)|Σ₁(1)⊕2Σ₃(1)⊕3Σ₄(1)|2Σ₁(1)⊕3Σ₂(1)⊕Σ₃(1)|Σ₂(1)⊕3Σ₃(1)⊕2Σ₄(1)|2Σ₁(1)⊕2Σ₂(1)⊕Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₂(1)⊕2Σ₃(1)⊕2Σ₄(1)|2Σ₁(1)⊕2Σ₂(1)⊕Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₂(1)⊕2Σ₃(1)⊕2Σ₄(1)|Σ₁(1)⊕Σ₂(1)⊕2Σ₃(1)⊕2Σ₄(1)|2Σ₁(1)⊕2Σ₂(1)⊕Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₂(1)⊕2Σ₃(1)⊕2Σ₄(1)|2Σ₁(1)⊕2Σ₂(1)⊕Σ₃(1)⊕Σ₄(1)|2Σˢ₅(2)|2Σˢ₅(2)|4Σˢ₅(2)|2Σˢ₅(2)|2Σˢ₅(2)|2Σˢ₅(2)|2Σˢ₅(2)|2Σˢ₅(2)|2Σˢ₅(2)|6Σˢ₅(2)|6Σˢ₅(2)|3Σˢ₅(2)|3Σˢ₅(2)|3Σˢ₅(2)|3Σˢ₅(2)|3Σˢ₅(2)|3Σˢ₅(2)|3Σˢ₅(2)|3Σˢ₅(2)
