Wyckoff pos.|1a(3)|1a(3)|1a(3)|1b(3)|1b(3)|1b(3)|1c(3)|1c(3)|1c(3)|1a(3)|1a(3)|1a(3)|1b(3)|1b(3)|1b(3)|1c(3)|1c(3)|1c(3)
Band-Rep.|A₁↑G(1)|¹E↑G(1)|²E↑G(1)|A₁↑G(1)|¹E↑G(1)|²E↑G(1)|A₁↑G(1)|¹E↑G(1)|²E↑G(1)|¹Eˢ↑G(1)|²Eˢ↑G(1)|Eˢ↑G(1)|¹Eˢ↑G(1)|²Eˢ↑G(1)|Eˢ↑G(1)|¹Eˢ↑G(1)|²Eˢ↑G(1)|Eˢ↑G(1)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false
A:(0,0,1/2)|A₁(1)|A₂(1)|A₃(1)|A₁(1)|A₂(1)|A₃(1)|A₁(1)|A₂(1)|A₃(1)|Aˢ₆(1)|Aˢ₅(1)|Aˢ₄(1)|Aˢ₆(1)|Aˢ₅(1)|Aˢ₄(1)|Aˢ₆(1)|Aˢ₅(1)|Aˢ₄(1)
Γ:(0,0,0)|Γ₁(1)|Γ₂(1)|Γ₃(1)|Γ₁(1)|Γ₂(1)|Γ₃(1)|Γ₁(1)|Γ₂(1)|Γ₃(1)|Γˢ₆(1)|Γˢ₅(1)|Γˢ₄(1)|Γˢ₆(1)|Γˢ₅(1)|Γˢ₄(1)|Γˢ₆(1)|Γˢ₅(1)|Γˢ₄(1)
H:(1/3,1/3,1/2)|H₁(1)|H₂(1)|H₃(1)|H₂(1)|H₃(1)|H₁(1)|H₃(1)|H₁(1)|H₂(1)|Hˢ₆(1)|Hˢ₅(1)|Hˢ₄(1)|Hˢ₄(1)|Hˢ₆(1)|Hˢ₅(1)|Hˢ₅(1)|Hˢ₄(1)|Hˢ₆(1)
HA:(-1/3,-1/3,-1/2)|HA₁(1)|HA₃(1)|HA₂(1)|HA₂(1)|HA₁(1)|HA₃(1)|HA₃(1)|HA₂(1)|HA₁(1)|HAˢ₅(1)|HAˢ₆(1)|HAˢ₄(1)|HAˢ₆(1)|HAˢ₄(1)|HAˢ₅(1)|HAˢ₄(1)|HAˢ₅(1)|HAˢ₆(1)
K:(1/3,1/3,0)|K₁(1)|K₂(1)|K₃(1)|K₂(1)|K₃(1)|K₁(1)|K₃(1)|K₁(1)|K₂(1)|Kˢ₆(1)|Kˢ₅(1)|Kˢ₄(1)|Kˢ₄(1)|Kˢ₆(1)|Kˢ₅(1)|Kˢ₅(1)|Kˢ₄(1)|Kˢ₆(1)
KA:(-1/3,-1/3,0)|KA₁(1)|KA₃(1)|KA₂(1)|KA₂(1)|KA₁(1)|KA₃(1)|KA₃(1)|KA₂(1)|KA₁(1)|KAˢ₅(1)|KAˢ₆(1)|KAˢ₄(1)|KAˢ₆(1)|KAˢ₄(1)|KAˢ₅(1)|KAˢ₄(1)|KAˢ₅(1)|KAˢ₆(1)
L:(1/2,0,1/2)|L₁(1)|L₁(1)|L₁(1)|L₁(1)|L₁(1)|L₁(1)|L₁(1)|L₁(1)|L₁(1)|Lˢ₂(1)|Lˢ₂(1)|Lˢ₂(1)|Lˢ₂(1)|Lˢ₂(1)|Lˢ₂(1)|Lˢ₂(1)|Lˢ₂(1)|Lˢ₂(1)
