Wyckoff pos.|3a(2)|3a(2)|3b(2)|3b(2)|3a(2)|3a(2)|3b(2)|3b(2)
Band-Rep.|A↑G(3)|B↑G(3)|A↑G(3)|B↑G(3)|¹Eˢ↑G(3)|²Eˢ↑G(3)|¹Eˢ↑G(3)|²Eˢ↑G(3)
Decomposable|false|false|false|false|false|false|false|false
A:(0,0,1/2)|A₂(1)⊕A₃(2)|A₁(1)⊕A₃(2)|A₁(1)⊕A₃(2)|A₂(1)⊕A₃(2)|Aˢ₅(1)⊕Aˢ₆(2)|Aˢ₄(1)⊕Aˢ₆(2)|Aˢ₄(1)⊕Aˢ₆(2)|Aˢ₅(1)⊕Aˢ₆(2)
Γ:(0,0,0)|Γ₁(1)⊕Γ₃(2)|Γ₂(1)⊕Γ₃(2)|Γ₁(1)⊕Γ₃(2)|Γ₂(1)⊕Γ₃(2)|Γˢ₄(1)⊕Γˢ₆(2)|Γˢ₅(1)⊕Γˢ₆(2)|Γˢ₄(1)⊕Γˢ₆(2)|Γˢ₅(1)⊕Γˢ₆(2)
H:(1/3,1/3,1/2)|H₁(1)⊕H₂(1)⊕H₃(1)|H₁(1)⊕H₂(1)⊕H₃(1)|H₁(1)⊕H₂(1)⊕H₃(1)|H₁(1)⊕H₂(1)⊕H₃(1)|Hˢ₄(1)⊕Hˢ₅(1)⊕Hˢ₆(1)|Hˢ₄(1)⊕Hˢ₅(1)⊕Hˢ₆(1)|Hˢ₄(1)⊕Hˢ₅(1)⊕Hˢ₆(1)|Hˢ₄(1)⊕Hˢ₅(1)⊕Hˢ₆(1)
K:(1/3,1/3,0)|K₁(1)⊕K₂(1)⊕K₃(1)|K₁(1)⊕K₂(1)⊕K₃(1)|K₁(1)⊕K₂(1)⊕K₃(1)|K₁(1)⊕K₂(1)⊕K₃(1)|Kˢ₄(1)⊕Kˢ₅(1)⊕Kˢ₆(1)|Kˢ₄(1)⊕Kˢ₅(1)⊕Kˢ₆(1)|Kˢ₄(1)⊕Kˢ₅(1)⊕Kˢ₆(1)|Kˢ₄(1)⊕Kˢ₅(1)⊕Kˢ₆(1)
L:(1/2,0,1/2)|2L₁(1)⊕L₂(1)|L₁(1)⊕2L₂(1)|L₁(1)⊕2L₂(1)|2L₁(1)⊕L₂(1)|2Lˢ₃(1)⊕Lˢ₄(1)|Lˢ₃(1)⊕2Lˢ₄(1)|Lˢ₃(1)⊕2Lˢ₄(1)|2Lˢ₃(1)⊕Lˢ₄(1)
M:(1/2,0,0)|2M₁(1)⊕M₂(1)|M₁(1)⊕2M₂(1)|2M₁(1)⊕M₂(1)|M₁(1)⊕2M₂(1)|2Mˢ₃(1)⊕Mˢ₄(1)|Mˢ₃(1)⊕2Mˢ₄(1)|2Mˢ₃(1)⊕Mˢ₄(1)|Mˢ₃(1)⊕2Mˢ₄(1)
Δ:(0,0,w)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)|Δˢ₄(1)⊕Δˢ₅(1)⊕Δˢ₆(1)|Δˢ₄(1)⊕Δˢ₅(1)⊕Δˢ₆(1)|Δˢ₄(1)⊕Δˢ₅(1)⊕Δˢ₆(1)|Δˢ₄(1)⊕Δˢ₅(1)⊕Δˢ₆(1)
P:(1/3,1/3,w)|P₁(1)⊕P₂(1)⊕P₃(1)|P₁(1)⊕P₂(1)⊕P₃(1)|P₁(1)⊕P₂(1)⊕P₃(1)|P₁(1)⊕P₂(1)⊕P₃(1)|Pˢ₄(1)⊕Pˢ₅(1)⊕Pˢ₆(1)|Pˢ₄(1)⊕Pˢ₅(1)⊕Pˢ₆(1)|Pˢ₄(1)⊕Pˢ₅(1)⊕Pˢ₆(1)|Pˢ₄(1)⊕Pˢ₅(1)⊕Pˢ₆(1)
R:(u,0,1/2)|2R₁(1)⊕R₂(1)|R₁(1)⊕2R₂(1)|R₁(1)⊕2R₂(1)|2R₁(1)⊕R₂(1)|2Rˢ₃(1)⊕Rˢ₄(1)|Rˢ₃(1)⊕2Rˢ₄(1)|Rˢ₃(1)⊕2Rˢ₄(1)|2Rˢ₃(1)⊕Rˢ₄(1)
Σ:(u,0,0)|2Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕2Σ₂(1)|2Σ₁(1)⊕Σ₂(1)|Σ₁(1)⊕2Σ₂(1)|2Σˢ₃(1)⊕Σˢ₄(1)|Σˢ₃(1)⊕2Σˢ₄(1)|2Σˢ₃(1)⊕Σˢ₄(1)|Σˢ₃(1)⊕2Σˢ₄(1)
B:(u,v,0)|3B₁(1)|3B₁(1)|3B₁(1)|3B₁(1)|3Bˢ₂(1)|3Bˢ₂(1)|3Bˢ₂(1)|3Bˢ₂(1)
