Wyckoff pos.|2a(m-3)|2a(m-3)|2a(m-3)|2a(m-3)|2a(m-3)|2a(m-3)|2a(m-3)|2a(m-3)|6b(mmm)|6b(mmm)|6b(mmm)|6b(mmm)|6b(mmm)|6b(mmm)|6b(mmm)|6b(mmm)|6c(-42m)|6c(-42m)|6c(-42m)|6c(-42m)|6d(-42m)|6d(-42m)|6d(-42m)|6d(-42m)|8e(32)|8e(32)|2a(m-3)|2a(m-3)|2a(m-3)|2a(m-3)|2a(m-3)|2a(m-3)|6b(mmm)|6b(mmm)|6c(-42m)|6c(-42m)|6d(-42m)|6d(-42m)|8e(32)|8e(32)
Band-Rep.|¹Aᵤ↑G(2)|Ag↑G(2)|¹Eg↑G(2)|¹Eᵤ↑G(2)|²Eg↑G(2)|²Eᵤ↑G(2)|Tg↑G(6)|Tᵤ↑G(6)|Ag↑G(6)|Aᵤ↑G(6)|B₁g↑G(6)|B₁ᵤ↑G(6)|B₂g↑G(6)|B₂ᵤ↑G(6)|B₃g↑G(6)|B₃ᵤ↑G(6)|A₁↑G(6)|A₂↑G(6)|B₁↑G(6)|B₂↑G(6)|A₁↑G(6)|A₂↑G(6)|B₁↑G(6)|B₂↑G(6)|A₁↑G(8)|A₂↑G(8)|Eˢg↑G(4)|Eˢᵤ↑G(4)|¹Fˢg↑G(4)|¹Fˢᵤ↑G(4)|²Fˢg↑G(4)|²Fˢᵤ↑G(4)|Eˢg↑G(12)|Eˢᵤ↑G(12)|Eˢ₁↑G(12)|Eˢ₂↑G(12)|Eˢ₁↑G(12)|Eˢ₂↑G(12)|¹Eˢ↑G(8)|²Eˢ↑G(8)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|true|true|true|true|true|true|true|true
Γ:(0,0,0)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₃⁺(2)|Γ₃⁻(2)|Γ₃⁺(2)|Γ₃⁻(2)|Γ₄⁺(3)⊕Γ₅⁺(3)|Γ₄⁻(3)⊕Γ₅⁻(3)|Γ₁⁺(1)⊕Γ₂⁺(1)⊕2Γ₃⁺(2)|Γ₁⁻(1)⊕Γ₂⁻(1)⊕2Γ₃⁻(2)|Γ₄⁺(3)⊕Γ₅⁺(3)|Γ₄⁻(3)⊕Γ₅⁻(3)|Γ₄⁺(3)⊕Γ₅⁺(3)|Γ₄⁻(3)⊕Γ₅⁻(3)|Γ₄⁺(3)⊕Γ₅⁺(3)|Γ₄⁻(3)⊕Γ₅⁻(3)|Γ₁⁺(1)⊕Γ₃⁺(2)⊕Γ₅⁻(3)|Γ₁⁻(1)⊕Γ₃⁻(2)⊕Γ₅⁺(3)|Γ₂⁺(1)⊕Γ₃⁺(2)⊕Γ₄⁻(3)|Γ₂⁻(1)⊕Γ₃⁻(2)⊕Γ₄⁺(3)|Γ₁⁺(1)⊕Γ₃⁺(2)⊕Γ₅⁻(3)|Γ₁⁻(1)⊕Γ₃⁻(2)⊕Γ₅⁺(3)|Γ₂⁺(1)⊕Γ₃⁺(2)⊕Γ₄⁻(3)|Γ₂⁻(1)⊕Γ₃⁻(2)⊕Γ₄⁺(3)|Γ₁⁺(1)⊕Γ₁⁻(1)⊕Γ₅⁺(3)⊕Γ₅⁻(3)|Γ₂⁺(1)⊕Γ₂⁻(1)⊕Γ₄⁺(3)⊕Γ₄⁻(3)|Γˢ₆(2)⊕Γˢ₇(2)|Γˢ₈(2)⊕Γˢ₉(2)|Γˢ₁₀(4)|Γˢ₁₁(4)|Γˢ₁₀(4)|Γˢ₁₁(4)|Γˢ₆(2)⊕Γˢ₇(2)⊕2Γˢ₁₀(4)|Γˢ₈(2)⊕Γˢ₉(2)⊕2Γˢ₁₁(4)|Γˢ₆(2)⊕Γˢ₉(2)⊕Γˢ₁₀(4)⊕Γˢ₁₁(4)|Γˢ₇(2)⊕Γˢ₈(2)⊕Γˢ₁₀(4)⊕Γˢ₁₁(4)|Γˢ₆(2)⊕Γˢ₉(2)⊕Γˢ₁₀(4)⊕Γˢ₁₁(4)|Γˢ₇(2)⊕Γˢ₈(2)⊕Γˢ₁₀(4)⊕Γˢ₁₁(4)|Γˢ₁₀(4)⊕Γˢ₁₁(4)|Γˢ₁₀(4)⊕Γˢ₁₁(4)
R:(1/2,1/2,1/2)|R₁(2)|R₁(2)|R₃(2)|R₂(2)|R₂(2)|R₃(2)|R₄(6)|R₄(6)|R₄(6)|R₄(6)|R₄(6)|R₄(6)|R₄(6)|R₄(6)|R₁(2)⊕R₂(2)⊕R₃(2)|R₁(2)⊕R₂(2)⊕R₃(2)|R₄(6)|R₄(6)|R₄(6)|R₄(6)|R₄(6)|R₄(6)|R₄(6)|R₄(6)|R₁(2)⊕R₄(6)|R₁(2)⊕R₄(6)|Rˢ₅(4)|Rˢ₅(4)|Rˢ₆(4)|Rˢ₇(4)|Rˢ₇(4)|Rˢ₆(4)|Rˢ₅(4)⊕Rˢ₆(4)⊕Rˢ₇(4)|Rˢ₅(4)⊕Rˢ₆(4)⊕Rˢ₇(4)|Rˢ₅(4)⊕Rˢ₆(4)⊕Rˢ₇(4)|Rˢ₅(4)⊕Rˢ₆(4)⊕Rˢ₇(4)|Rˢ₅(4)⊕Rˢ₆(4)⊕Rˢ₇(4)|Rˢ₅(4)⊕Rˢ₆(4)⊕Rˢ₇(4)|Rˢ₆(4)⊕Rˢ₇(4)|Rˢ₆(4)⊕Rˢ₇(4)
M:(1/2,1/2,0)|M₅⁻(2)|M₅⁺(2)|M₅⁺(2)|M₅⁻(2)|M₅⁺(2)|M₅⁻(2)|M₁⁺(1)⊕M₂⁺(1)⊕M₃⁺(1)⊕M₄⁺(1)⊕M₅⁺(2)|M₁⁻(1)⊕M₂⁻(1)⊕M₃⁻(1)⊕M₄⁻(1)⊕M₅⁻(2)|M₁⁻(1)⊕M₂⁻(1)⊕M₃⁻(1)⊕M₄⁻(1)⊕M₅⁺(2)|M₁⁺(1)⊕M₂⁺(1)⊕M₃⁺(1)⊕M₄⁺(1)⊕M₅⁻(2)|M₁⁺(1)⊕M₁⁻(1)⊕M₂⁺(1)⊕M₂⁻(1)⊕M₅⁻(2)|M₁⁺(1)⊕M₁⁻(1)⊕M₂⁺(1)⊕M₂⁻(1)⊕M₅⁺(2)|M₃⁺(1)⊕M₃⁻(1)⊕M₄⁺(1)⊕M₄⁻(1)⊕M₅⁻(2)|M₃⁺(1)⊕M₃⁻(1)⊕M₄⁺(1)⊕M₄⁻(1)⊕M₅⁺(2)|M₅⁺(2)⊕2M₅⁻(2)|2M₅⁺(2)⊕M₅⁻(2)|M₁⁺(1)⊕M₁⁻(1)⊕M₂⁻(1)⊕M₄⁻(1)⊕M₅⁺(2)|M₁⁺(1)⊕M₁⁻(1)⊕M₂⁺(1)⊕M₄⁺(1)⊕M₅⁻(2)|M₁⁻(1)⊕M₂⁺(1)⊕M₂⁻(1)⊕M₃⁻(1)⊕M₅⁺(2)|M₁⁺(1)⊕M₂⁺(1)⊕M₂⁻(1)⊕M₃⁺(1)⊕M₅⁻(2)|M₁⁻(1)⊕M₃⁻(1)⊕M₄⁺(1)⊕M₄⁻(1)⊕M₅⁺(2)|M₁⁺(1)⊕M₃⁺(1)⊕M₄⁺(1)⊕M₄⁻(1)⊕M₅⁻(2)|M₂⁻(1)⊕M₃⁺(1)⊕M₃⁻(1)⊕M₄⁻(1)⊕M₅⁺(2)|M₂⁺(1)⊕M₃⁺(1)⊕M₃⁻(1)⊕M₄⁺(1)⊕M₅⁻(2)|M₁⁺(1)⊕M₁⁻(1)⊕M₄⁺(1)⊕M₄⁻(1)⊕M₅⁺(2)⊕M₅⁻(2)|M₂⁺(1)⊕M₂⁻(1)⊕M₃⁺(1)⊕M₃⁻(1)⊕M₅⁺(2)⊕M₅⁻(2)|Mˢ₆(2)⊕Mˢ₇(2)|Mˢ₈(2)⊕Mˢ₉(2)|Mˢ₆(2)⊕Mˢ₇(2)|Mˢ₈(2)⊕Mˢ₉(2)|Mˢ₆(2)⊕Mˢ₇(2)|Mˢ₈(2)⊕Mˢ₉(2)|Mˢ₆(2)⊕Mˢ₇(2)⊕2Mˢ₈(2)⊕2Mˢ₉(2)|2Mˢ₆(2)⊕2Mˢ₇(2)⊕Mˢ₈(2)⊕Mˢ₉(2)|Mˢ₆(2)⊕2Mˢ₇(2)⊕2Mˢ₈(2)⊕Mˢ₉(2)|2Mˢ₆(2)⊕Mˢ₇(2)⊕Mˢ₈(2)⊕2Mˢ₉(2)|2Mˢ₆(2)⊕Mˢ₇(2)⊕Mˢ₈(2)⊕2Mˢ₉(2)|Mˢ₆(2)⊕2Mˢ₇(2)⊕2Mˢ₈(2)⊕Mˢ₉(2)|Mˢ₆(2)⊕Mˢ₇(2)⊕Mˢ₈(2)⊕Mˢ₉(2)|Mˢ₆(2)⊕Mˢ₇(2)⊕Mˢ₈(2)⊕Mˢ₉(2)
X:(0,1/2,0)|X₂(2)|X₁(2)|X₁(2)|X₂(2)|X₁(2)|X₂(2)|X₂(2)⊕X₃(2)⊕X₄(2)|X₁(2)⊕X₃(2)⊕X₄(2)|3X₁(2)|3X₂(2)|X₂(2)⊕2X₄(2)|X₁(2)⊕2X₄(2)|X₂(2)⊕2X₃(2)|X₁(2)⊕2X₃(2)|X₂(2)⊕X₃(2)⊕X₄(2)|X₁(2)⊕X₃(2)⊕X₄(2)|2X₁(2)⊕X₄(2)|2X₂(2)⊕X₄(2)|2X₁(2)⊕X₄(2)|2X₂(2)⊕X₄(2)|2X₁(2)⊕X₃(2)|2X₂(2)⊕X₃(2)|2X₁(2)⊕X₃(2)|2X₂(2)⊕X₃(2)|X₁(2)⊕X₂(2)⊕X₃(2)⊕X₄(2)|X₁(2)⊕X₂(2)⊕X₃(2)⊕X₄(2)|Xˢ₅(4)|Xˢ₅(4)|Xˢ₅(4)|Xˢ₅(4)|Xˢ₅(4)|Xˢ₅(4)|3Xˢ₅(4)|3Xˢ₅(4)|3Xˢ₅(4)|3Xˢ₅(4)|3Xˢ₅(4)|3Xˢ₅(4)|2Xˢ₅(4)|2Xˢ₅(4)
Δ:(0,v,0)|Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)|Δ₃(1)⊕Δ₄(1)|Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕2Δ₅(2)|3Δ₁(1)⊕3Δ₂(1)|3Δ₃(1)⊕3Δ₄(1)|Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕2Δ₅(2)|Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕2Δ₅(2)|Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕2Δ₅(2)|2Δ₁(1)⊕2Δ₂(1)⊕Δ₅(2)|2Δ₃(1)⊕2Δ₄(1)⊕Δ₅(2)|2Δ₁(1)⊕2Δ₂(1)⊕Δ₅(2)|2Δ₃(1)⊕2Δ₄(1)⊕Δ₅(2)|2Δ₁(1)⊕2Δ₂(1)⊕Δ₅(2)|2Δ₃(1)⊕2Δ₄(1)⊕Δ₅(2)|2Δ₁(1)⊕2Δ₂(1)⊕Δ₅(2)|2Δ₃(1)⊕2Δ₄(1)⊕Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|Δˢ₆(2)⊕Δˢ₇(2)|Δˢ₆(2)⊕Δˢ₇(2)|Δˢ₆(2)⊕Δˢ₇(2)|Δˢ₆(2)⊕Δˢ₇(2)|Δˢ₆(2)⊕Δˢ₇(2)|Δˢ₆(2)⊕Δˢ₇(2)|3Δˢ₆(2)⊕3Δˢ₇(2)|3Δˢ₆(2)⊕3Δˢ₇(2)|3Δˢ₆(2)⊕3Δˢ₇(2)|3Δˢ₆(2)⊕3Δˢ₇(2)|3Δˢ₆(2)⊕3Δˢ₇(2)|3Δˢ₆(2)⊕3Δˢ₇(2)|2Δˢ₆(2)⊕2Δˢ₇(2)|2Δˢ₆(2)⊕2Δˢ₇(2)
T:(1/2,1/2,w)|T₅(2)|T₅(2)|T₅(2)|T₅(2)|T₅(2)|T₅(2)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)⊕T₅(2)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)⊕T₅(2)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)⊕T₅(2)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)⊕T₅(2)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)⊕T₅(2)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)⊕T₅(2)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)⊕T₅(2)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)⊕T₅(2)|3T₅(2)|3T₅(2)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)⊕T₅(2)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)⊕T₅(2)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)⊕T₅(2)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)⊕T₅(2)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)⊕T₅(2)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)⊕T₅(2)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)⊕T₅(2)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)⊕T₅(2)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)⊕2T₅(2)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)⊕2T₅(2)|Tˢ₆(2)⊕Tˢ₇(2)|Tˢ₆(2)⊕Tˢ₇(2)|Tˢ₆(2)⊕Tˢ₇(2)|Tˢ₆(2)⊕Tˢ₇(2)|Tˢ₆(2)⊕Tˢ₇(2)|Tˢ₆(2)⊕Tˢ₇(2)|3Tˢ₆(2)⊕3Tˢ₇(2)|3Tˢ₆(2)⊕3Tˢ₇(2)|3Tˢ₆(2)⊕3Tˢ₇(2)|3Tˢ₆(2)⊕3Tˢ₇(2)|3Tˢ₆(2)⊕3Tˢ₇(2)|3Tˢ₆(2)⊕3Tˢ₇(2)|2Tˢ₆(2)⊕2Tˢ₇(2)|2Tˢ₆(2)⊕2Tˢ₇(2)
Λ:(u,u,u)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₃(2)|Λ₃(2)|Λ₃(2)|Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕2Λ₃(2)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(2)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(2)|2Λˢ₆(2)|2Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕Λˢ₆(2)|2Λˢ₄(1)⊕2Λˢ₅(1)⊕4Λˢ₆(2)|2Λˢ₄(1)⊕2Λˢ₅(1)⊕4Λˢ₆(2)|2Λˢ₄(1)⊕2Λˢ₅(1)⊕4Λˢ₆(2)|2Λˢ₄(1)⊕2Λˢ₅(1)⊕4Λˢ₆(2)|2Λˢ₄(1)⊕2Λˢ₅(1)⊕4Λˢ₆(2)|2Λˢ₄(1)⊕2Λˢ₅(1)⊕4Λˢ₆(2)|2Λˢ₄(1)⊕2Λˢ₅(1)⊕2Λˢ₆(2)|2Λˢ₄(1)⊕2Λˢ₅(1)⊕2Λˢ₆(2)
