Wyckoff pos.|1a(-6)|1a(-6)|1a(-6)|1a(-6)|1a(-6)|1a(-6)|1b(-6)|1b(-6)|1b(-6)|1b(-6)|1b(-6)|1b(-6)|1c(-6)|1c(-6)|1c(-6)|1c(-6)|1c(-6)|1c(-6)|1d(-6)|1d(-6)|1d(-6)|1d(-6)|1d(-6)|1d(-6)|1e(-6)|1e(-6)|1e(-6)|1e(-6)|1e(-6)|1e(-6)|1f(-6)|1f(-6)|1f(-6)|1f(-6)|1f(-6)|1f(-6)|1a(-6)|1a(-6)|1a(-6)|1a(-6)|1a(-6)|1a(-6)|1b(-6)|1b(-6)|1b(-6)|1b(-6)|1b(-6)|1b(-6)|1c(-6)|1c(-6)|1c(-6)|1c(-6)|1c(-6)|1c(-6)|1d(-6)|1d(-6)|1d(-6)|1d(-6)|1d(-6)|1d(-6)|1e(-6)|1e(-6)|1e(-6)|1e(-6)|1e(-6)|1e(-6)|1f(-6)|1f(-6)|1f(-6)|1f(-6)|1f(-6)|1f(-6)
Band-Rep.|A′↑G(1)|A′′↑G(1)|¹E′↑G(1)|¹E′′↑G(1)|²E′↑G(1)|²E′′↑G(1)|A′↑G(1)|A′′↑G(1)|¹E′↑G(1)|¹E′′↑G(1)|²E′↑G(1)|²E′′↑G(1)|A′↑G(1)|A′′↑G(1)|¹E′↑G(1)|¹E′′↑G(1)|²E′↑G(1)|²E′′↑G(1)|A′↑G(1)|A′′↑G(1)|¹E′↑G(1)|¹E′′↑G(1)|²E′↑G(1)|²E′′↑G(1)|A′↑G(1)|A′′↑G(1)|¹E′↑G(1)|¹E′′↑G(1)|²E′↑G(1)|²E′′↑G(1)|A′↑G(1)|A′′↑G(1)|¹E′↑G(1)|¹E′′↑G(1)|²E′↑G(1)|²E′′↑G(1)|¹Eˢ₁↑G(1)|¹Eˢ₂↑G(1)|¹Eˢ₃↑G(1)|²Eˢ₁↑G(1)|²Eˢ₂↑G(1)|²Eˢ₃↑G(1)|¹Eˢ₁↑G(1)|¹Eˢ₂↑G(1)|¹Eˢ₃↑G(1)|²Eˢ₁↑G(1)|²Eˢ₂↑G(1)|²Eˢ₃↑G(1)|¹Eˢ₁↑G(1)|¹Eˢ₂↑G(1)|¹Eˢ₃↑G(1)|²Eˢ₁↑G(1)|²Eˢ₂↑G(1)|²Eˢ₃↑G(1)|¹Eˢ₁↑G(1)|¹Eˢ₂↑G(1)|¹Eˢ₃↑G(1)|²Eˢ₁↑G(1)|²Eˢ₂↑G(1)|²Eˢ₃↑G(1)|¹Eˢ₁↑G(1)|¹Eˢ₂↑G(1)|¹Eˢ₃↑G(1)|²Eˢ₁↑G(1)|²Eˢ₂↑G(1)|²Eˢ₃↑G(1)|¹Eˢ₁↑G(1)|¹Eˢ₂↑G(1)|¹Eˢ₃↑G(1)|²Eˢ₁↑G(1)|²Eˢ₂↑G(1)|²Eˢ₃↑G(1)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false
A:(0,0,1/2)|A₁(1)|A₂(1)|A₃(1)|A₄(1)|A₅(1)|A₆(1)|A₂(1)|A₁(1)|A₄(1)|A₃(1)|A₆(1)|A₅(1)|A₁(1)|A₂(1)|A₃(1)|A₄(1)|A₅(1)|A₆(1)|A₂(1)|A₁(1)|A₄(1)|A₃(1)|A₆(1)|A₅(1)|A₁(1)|A₂(1)|A₃(1)|A₄(1)|A₅(1)|A₆(1)|A₂(1)|A₁(1)|A₄(1)|A₃(1)|A₆(1)|A₅(1)|Aˢ₇(1)|Aˢ₉(1)|Aˢ₁₁(1)|Aˢ₈(1)|Aˢ₁₂(1)|Aˢ₁₀(1)|Aˢ₈(1)|Aˢ₁₀(1)|Aˢ₁₂(1)|Aˢ₇(1)|Aˢ₁₁(1)|Aˢ₉(1)|Aˢ₇(1)|Aˢ₉(1)|Aˢ₁₁(1)|Aˢ₈(1)|Aˢ₁₂(1)|Aˢ₁₀(1)|Aˢ₈(1)|Aˢ₁₀(1)|Aˢ₁₂(1)|Aˢ₇(1)|Aˢ₁₁(1)|Aˢ₉(1)|Aˢ₇(1)|Aˢ₉(1)|Aˢ₁₁(1)|Aˢ₈(1)|Aˢ₁₂(1)|Aˢ₁₀(1)|Aˢ₈(1)|Aˢ₁₀(1)|Aˢ₁₂(1)|Aˢ₇(1)|Aˢ₁₁(1)|Aˢ₉(1)
Γ:(0,0,0)|Γ₁(1)|Γ₂(1)|Γ₃(1)|Γ₄(1)|Γ₅(1)|Γ₆(1)|Γ₁(1)|Γ₂(1)|Γ₃(1)|Γ₄(1)|Γ₅(1)|Γ₆(1)|Γ₁(1)|Γ₂(1)|Γ₃(1)|Γ₄(1)|Γ₅(1)|Γ₆(1)|Γ₁(1)|Γ₂(1)|Γ₃(1)|Γ₄(1)|Γ₅(1)|Γ₆(1)|Γ₁(1)|Γ₂(1)|Γ₃(1)|Γ₄(1)|Γ₅(1)|Γ₆(1)|Γ₁(1)|Γ₂(1)|Γ₃(1)|Γ₄(1)|Γ₅(1)|Γ₆(1)|Γˢ₇(1)|Γˢ₉(1)|Γˢ₁₁(1)|Γˢ₈(1)|Γˢ₁₂(1)|Γˢ₁₀(1)|Γˢ₇(1)|Γˢ₉(1)|Γˢ₁₁(1)|Γˢ₈(1)|Γˢ₁₂(1)|Γˢ₁₀(1)|Γˢ₇(1)|Γˢ₉(1)|Γˢ₁₁(1)|Γˢ₈(1)|Γˢ₁₂(1)|Γˢ₁₀(1)|Γˢ₇(1)|Γˢ₉(1)|Γˢ₁₁(1)|Γˢ₈(1)|Γˢ₁₂(1)|Γˢ₁₀(1)|Γˢ₇(1)|Γˢ₉(1)|Γˢ₁₁(1)|Γˢ₈(1)|Γˢ₁₂(1)|Γˢ₁₀(1)|Γˢ₇(1)|Γˢ₉(1)|Γˢ₁₁(1)|Γˢ₈(1)|Γˢ₁₂(1)|Γˢ₁₀(1)
H:(1/3,1/3,1/2)|H₁(1)|H₂(1)|H₃(1)|H₄(1)|H₅(1)|H₆(1)|H₂(1)|H₁(1)|H₄(1)|H₃(1)|H₆(1)|H₅(1)|H₃(1)|H₄(1)|H₅(1)|H₆(1)|H₁(1)|H₂(1)|H₄(1)|H₃(1)|H₆(1)|H₅(1)|H₂(1)|H₁(1)|H₅(1)|H₆(1)|H₁(1)|H₂(1)|H₃(1)|H₄(1)|H₆(1)|H₅(1)|H₂(1)|H₁(1)|H₄(1)|H₃(1)|Hˢ₇(1)|Hˢ₉(1)|Hˢ₁₁(1)|Hˢ₈(1)|Hˢ₁₂(1)|Hˢ₁₀(1)|Hˢ₈(1)|Hˢ₁₀(1)|Hˢ₁₂(1)|Hˢ₇(1)|Hˢ₁₁(1)|Hˢ₉(1)|Hˢ₉(1)|Hˢ₁₁(1)|Hˢ₇(1)|Hˢ₁₀(1)|Hˢ₈(1)|Hˢ₁₂(1)|Hˢ₁₀(1)|Hˢ₁₂(1)|Hˢ₈(1)|Hˢ₉(1)|Hˢ₇(1)|Hˢ₁₁(1)|Hˢ₁₁(1)|Hˢ₇(1)|Hˢ₉(1)|Hˢ₁₂(1)|Hˢ₁₀(1)|Hˢ₈(1)|Hˢ₁₂(1)|Hˢ₈(1)|Hˢ₁₀(1)|Hˢ₁₁(1)|Hˢ₉(1)|Hˢ₇(1)
HA:(-1/3,-1/3,-1/2)|HA₁(1)|HA₂(1)|HA₅(1)|HA₆(1)|HA₃(1)|HA₄(1)|HA₂(1)|HA₁(1)|HA₆(1)|HA₅(1)|HA₄(1)|HA₃(1)|HA₃(1)|HA₄(1)|HA₁(1)|HA₂(1)|HA₅(1)|HA₆(1)|HA₄(1)|HA₃(1)|HA₂(1)|HA₁(1)|HA₆(1)|HA₅(1)|HA₅(1)|HA₆(1)|HA₃(1)|HA₄(1)|HA₁(1)|HA₂(1)|HA₆(1)|HA₅(1)|HA₄(1)|HA₃(1)|HA₂(1)|HA₁(1)|HAˢ₈(1)|HAˢ₁₂(1)|HAˢ₁₀(1)|HAˢ₇(1)|HAˢ₉(1)|HAˢ₁₁(1)|HAˢ₇(1)|HAˢ₁₁(1)|HAˢ₉(1)|HAˢ₈(1)|HAˢ₁₀(1)|HAˢ₁₂(1)|HAˢ₁₀(1)|HAˢ₈(1)|HAˢ₁₂(1)|HAˢ₉(1)|HAˢ₁₁(1)|HAˢ₇(1)|HAˢ₉(1)|HAˢ₇(1)|HAˢ₁₁(1)|HAˢ₁₀(1)|HAˢ₁₂(1)|HAˢ₈(1)|HAˢ₁₂(1)|HAˢ₁₀(1)|HAˢ₈(1)|HAˢ₁₁(1)|HAˢ₇(1)|HAˢ₉(1)|HAˢ₁₁(1)|HAˢ₉(1)|HAˢ₇(1)|HAˢ₁₂(1)|HAˢ₈(1)|HAˢ₁₀(1)
K:(1/3,1/3,0)|K₁(1)|K₂(1)|K₃(1)|K₄(1)|K₅(1)|K₆(1)|K₁(1)|K₂(1)|K₃(1)|K₄(1)|K₅(1)|K₆(1)|K₃(1)|K₄(1)|K₅(1)|K₆(1)|K₁(1)|K₂(1)|K₃(1)|K₄(1)|K₅(1)|K₆(1)|K₁(1)|K₂(1)|K₅(1)|K₆(1)|K₁(1)|K₂(1)|K₃(1)|K₄(1)|K₅(1)|K₆(1)|K₁(1)|K₂(1)|K₃(1)|K₄(1)|Kˢ₇(1)|Kˢ₉(1)|Kˢ₁₁(1)|Kˢ₈(1)|Kˢ₁₂(1)|Kˢ₁₀(1)|Kˢ₇(1)|Kˢ₉(1)|Kˢ₁₁(1)|Kˢ₈(1)|Kˢ₁₂(1)|Kˢ₁₀(1)|Kˢ₉(1)|Kˢ₁₁(1)|Kˢ₇(1)|Kˢ₁₀(1)|Kˢ₈(1)|Kˢ₁₂(1)|Kˢ₉(1)|Kˢ₁₁(1)|Kˢ₇(1)|Kˢ₁₀(1)|Kˢ₈(1)|Kˢ₁₂(1)|Kˢ₁₁(1)|Kˢ₇(1)|Kˢ₉(1)|Kˢ₁₂(1)|Kˢ₁₀(1)|Kˢ₈(1)|Kˢ₁₁(1)|Kˢ₇(1)|Kˢ₉(1)|Kˢ₁₂(1)|Kˢ₁₀(1)|Kˢ₈(1)
KA:(-1/3,-1/3,0)|KA₁(1)|KA₂(1)|KA₅(1)|KA₆(1)|KA₃(1)|KA₄(1)|KA₁(1)|KA₂(1)|KA₅(1)|KA₆(1)|KA₃(1)|KA₄(1)|KA₃(1)|KA₄(1)|KA₁(1)|KA₂(1)|KA₅(1)|KA₆(1)|KA₃(1)|KA₄(1)|KA₁(1)|KA₂(1)|KA₅(1)|KA₆(1)|KA₅(1)|KA₆(1)|KA₃(1)|KA₄(1)|KA₁(1)|KA₂(1)|KA₅(1)|KA₆(1)|KA₃(1)|KA₄(1)|KA₁(1)|KA₂(1)|KAˢ₈(1)|KAˢ₁₂(1)|KAˢ₁₀(1)|KAˢ₇(1)|KAˢ₉(1)|KAˢ₁₁(1)|KAˢ₈(1)|KAˢ₁₂(1)|KAˢ₁₀(1)|KAˢ₇(1)|KAˢ₉(1)|KAˢ₁₁(1)|KAˢ₁₀(1)|KAˢ₈(1)|KAˢ₁₂(1)|KAˢ₉(1)|KAˢ₁₁(1)|KAˢ₇(1)|KAˢ₁₀(1)|KAˢ₈(1)|KAˢ₁₂(1)|KAˢ₉(1)|KAˢ₁₁(1)|KAˢ₇(1)|KAˢ₁₂(1)|KAˢ₁₀(1)|KAˢ₈(1)|KAˢ₁₁(1)|KAˢ₇(1)|KAˢ₉(1)|KAˢ₁₂(1)|KAˢ₁₀(1)|KAˢ₈(1)|KAˢ₁₁(1)|KAˢ₇(1)|KAˢ₉(1)
L:(1/2,0,1/2)|L₁(1)|L₂(1)|L₁(1)|L₂(1)|L₁(1)|L₂(1)|L₂(1)|L₁(1)|L₂(1)|L₁(1)|L₂(1)|L₁(1)|L₁(1)|L₂(1)|L₁(1)|L₂(1)|L₁(1)|L₂(1)|L₂(1)|L₁(1)|L₂(1)|L₁(1)|L₂(1)|L₁(1)|L₁(1)|L₂(1)|L₁(1)|L₂(1)|L₁(1)|L₂(1)|L₂(1)|L₁(1)|L₂(1)|L₁(1)|L₂(1)|L₁(1)|Lˢ₃(1)|Lˢ₃(1)|Lˢ₃(1)|Lˢ₄(1)|Lˢ₄(1)|Lˢ₄(1)|Lˢ₄(1)|Lˢ₄(1)|Lˢ₄(1)|Lˢ₃(1)|Lˢ₃(1)|Lˢ₃(1)|Lˢ₃(1)|Lˢ₃(1)|Lˢ₃(1)|Lˢ₄(1)|Lˢ₄(1)|Lˢ₄(1)|Lˢ₄(1)|Lˢ₄(1)|Lˢ₄(1)|Lˢ₃(1)|Lˢ₃(1)|Lˢ₃(1)|Lˢ₃(1)|Lˢ₃(1)|Lˢ₃(1)|Lˢ₄(1)|Lˢ₄(1)|Lˢ₄(1)|Lˢ₄(1)|Lˢ₄(1)|Lˢ₄(1)|Lˢ₃(1)|Lˢ₃(1)|Lˢ₃(1)
