Wyckoff pos.|2a(-1)|2a(-1)|2b(-1)|2b(-1)|2c(-1)|2c(-1)|2d(-1)|2d(-1)|2e(m)|2e(m)|2a(-1)|2a(-1)|2b(-1)|2b(-1)|2c(-1)|2c(-1)|2d(-1)|2d(-1)|2e(m)
Band-Rep.|Ag↑G(2)|Aᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|A'↑G(2)|A''↑G(2)|AˢgAˢg↑G(4)|AˢᵤAˢᵤ↑G(4)|AˢgAˢg↑G(4)|AˢᵤAˢᵤ↑G(4)|AˢgAˢg↑G(4)|AˢᵤAˢᵤ↑G(4)|AˢgAˢg↑G(4)|AˢᵤAˢᵤ↑G(4)|¹Eˢ²Eˢ↑G(4)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false
A:(1/2,0,1/2)|A₁⁺(1)⊕A₂⁺(1)|A₁⁻(1)⊕A₂⁻(1)|A₁⁻(1)⊕A₂⁻(1)|A₁⁺(1)⊕A₂⁺(1)|A₁⁻(1)⊕A₂⁻(1)|A₁⁺(1)⊕A₂⁺(1)|A₁⁺(1)⊕A₂⁺(1)|A₁⁻(1)⊕A₂⁻(1)|A₁⁺(1)⊕A₂⁻(1)|A₁⁻(1)⊕A₂⁺(1)|2Aˢ₃Aˢ₄(2)|2Aˢ₅Aˢ₆(2)|2Aˢ₅Aˢ₆(2)|2Aˢ₃Aˢ₄(2)|2Aˢ₅Aˢ₆(2)|2Aˢ₃Aˢ₄(2)|2Aˢ₃Aˢ₄(2)|2Aˢ₅Aˢ₆(2)|Aˢ₃Aˢ₄(2)⊕Aˢ₅Aˢ₆(2)
B:(0,0,1/2)|B₁⁺(1)⊕B₂⁺(1)|B₁⁻(1)⊕B₂⁻(1)|B₁⁺(1)⊕B₂⁺(1)|B₁⁻(1)⊕B₂⁻(1)|B₁⁻(1)⊕B₂⁻(1)|B₁⁺(1)⊕B₂⁺(1)|B₁⁻(1)⊕B₂⁻(1)|B₁⁺(1)⊕B₂⁺(1)|B₁⁺(1)⊕B₂⁻(1)|B₁⁻(1)⊕B₂⁺(1)|2Bˢ₃Bˢ₄(2)|2Bˢ₅Bˢ₆(2)|2Bˢ₃Bˢ₄(2)|2Bˢ₅Bˢ₆(2)|2Bˢ₅Bˢ₆(2)|2Bˢ₃Bˢ₄(2)|2Bˢ₅Bˢ₆(2)|2Bˢ₃Bˢ₄(2)|Bˢ₃Bˢ₄(2)⊕Bˢ₅Bˢ₆(2)
C:(1/2,1/2,0)|C₁(2)|C₁(2)|C₁(2)|C₁(2)|C₁(2)|C₁(2)|C₁(2)|C₁(2)|C₁(2)|C₁(2)|Cˢ₂Cˢ₂(4)|Cˢ₂Cˢ₂(4)|Cˢ₂Cˢ₂(4)|Cˢ₂Cˢ₂(4)|Cˢ₂Cˢ₂(4)|Cˢ₂Cˢ₂(4)|Cˢ₂Cˢ₂(4)|Cˢ₂Cˢ₂(4)|Cˢ₂Cˢ₂(4)
D:(0,1/2,1/2)|D₁(2)|D₁(2)|D₁(2)|D₁(2)|D₁(2)|D₁(2)|D₁(2)|D₁(2)|D₁(2)|D₁(2)|Dˢ₂Dˢ₂(4)|Dˢ₂Dˢ₂(4)|Dˢ₂Dˢ₂(4)|Dˢ₂Dˢ₂(4)|Dˢ₂Dˢ₂(4)|Dˢ₂Dˢ₂(4)|Dˢ₂Dˢ₂(4)|Dˢ₂Dˢ₂(4)|Dˢ₂Dˢ₂(4)
E:(1/2,1/2,1/2)|E₁(2)|E₁(2)|E₁(2)|E₁(2)|E₁(2)|E₁(2)|E₁(2)|E₁(2)|E₁(2)|E₁(2)|Eˢ₂Eˢ₂(4)|Eˢ₂Eˢ₂(4)|Eˢ₂Eˢ₂(4)|Eˢ₂Eˢ₂(4)|Eˢ₂Eˢ₂(4)|Eˢ₂Eˢ₂(4)|Eˢ₂Eˢ₂(4)|Eˢ₂Eˢ₂(4)|Eˢ₂Eˢ₂(4)
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₁⁺(1)⊕Γ₂⁻(1)|Γ₁⁻(1)⊕Γ₂⁺(1)|2Γˢ₃Γˢ₄(2)|2Γˢ₅Γˢ₆(2)|2Γˢ₃Γˢ₄(2)|2Γˢ₅Γˢ₆(2)|2Γˢ₃Γˢ₄(2)|2Γˢ₅Γˢ₆(2)|2Γˢ₃Γˢ₄(2)|2Γˢ₅Γˢ₆(2)|Γˢ₃Γˢ₄(2)⊕Γˢ₅Γˢ₆(2)
Y:(1/2,0,0)|Y₁⁺(1)⊕Y₂⁺(1)|Y₁⁻(1)⊕Y₂⁻(1)|Y₁⁻(1)⊕Y₂⁻(1)|Y₁⁺(1)⊕Y₂⁺(1)|Y₁⁺(1)⊕Y₂⁺(1)|Y₁⁻(1)⊕Y₂⁻(1)|Y₁⁻(1)⊕Y₂⁻(1)|Y₁⁺(1)⊕Y₂⁺(1)|Y₁⁺(1)⊕Y₂⁻(1)|Y₁⁻(1)⊕Y₂⁺(1)|2Yˢ₃Yˢ₄(2)|2Yˢ₅Yˢ₆(2)|2Yˢ₅Yˢ₆(2)|2Yˢ₃Yˢ₄(2)|2Yˢ₃Yˢ₄(2)|2Yˢ₅Yˢ₆(2)|2Yˢ₅Yˢ₆(2)|2Yˢ₃Yˢ₄(2)|Yˢ₃Yˢ₄(2)⊕Yˢ₅Yˢ₆(2)
