Wyckoff pos.|2a(2/m)|2a(2/m)|2a(2/m)|2a(2/m)|2b(2/m)|2b(2/m)|2b(2/m)|2b(2/m)|2c(2/m)|2c(2/m)|2c(2/m)|2c(2/m)|2d(2/m)|2d(2/m)|2d(2/m)|2d(2/m)|2a(2/m)|2a(2/m)|2a(2/m)|2a(2/m)|2b(2/m)|2b(2/m)|2b(2/m)|2b(2/m)|2c(2/m)|2c(2/m)|2c(2/m)|2c(2/m)|2d(2/m)|2d(2/m)|2d(2/m)|2d(2/m)
Band-Rep.|Ag↑G(2)|Aᵤ↑G(2)|Bg↑G(2)|Bᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|Bg↑G(2)|Bᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|Bg↑G(2)|Bᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|Bg↑G(2)|Bᵤ↑G(2)|¹Eˢg↑G(2)|¹Eˢᵤ↑G(2)|²Eˢg↑G(2)|²Eˢᵤ↑G(2)|¹Eˢg↑G(2)|¹Eˢᵤ↑G(2)|²Eˢg↑G(2)|²Eˢᵤ↑G(2)|¹Eˢg↑G(2)|¹Eˢᵤ↑G(2)|²Eˢg↑G(2)|²Eˢᵤ↑G(2)|¹Eˢg↑G(2)|¹Eˢᵤ↑G(2)|²Eˢg↑G(2)|²Eˢᵤ↑G(2)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₃⁻(1)⊕Γ₄⁻(1)|Γˢ₅(2)|Γˢ₆(2)|Γˢ₅(2)|Γˢ₆(2)|Γˢ₅(2)|Γˢ₆(2)|Γˢ₅(2)|Γˢ₆(2)|Γˢ₅(2)|Γˢ₆(2)|Γˢ₅(2)|Γˢ₆(2)|Γˢ₅(2)|Γˢ₆(2)|Γˢ₅(2)|Γˢ₆(2)
R:(1/2,1/2,1/2)|R₁⁺(1)⊕R₂⁺(1)|R₁⁻(1)⊕R₂⁻(1)|R₃⁺(1)⊕R₄⁺(1)|R₃⁻(1)⊕R₄⁻(1)|R₁⁻(1)⊕R₂⁻(1)|R₁⁺(1)⊕R₂⁺(1)|R₃⁻(1)⊕R₄⁻(1)|R₃⁺(1)⊕R₄⁺(1)|R₃⁻(1)⊕R₄⁻(1)|R₃⁺(1)⊕R₄⁺(1)|R₁⁻(1)⊕R₂⁻(1)|R₁⁺(1)⊕R₂⁺(1)|R₃⁺(1)⊕R₄⁺(1)|R₃⁻(1)⊕R₄⁻(1)|R₁⁺(1)⊕R₂⁺(1)|R₁⁻(1)⊕R₂⁻(1)|Rˢ₅(2)|Rˢ₆(2)|Rˢ₅(2)|Rˢ₆(2)|Rˢ₆(2)|Rˢ₅(2)|Rˢ₆(2)|Rˢ₅(2)|Rˢ₆(2)|Rˢ₅(2)|Rˢ₆(2)|Rˢ₅(2)|Rˢ₅(2)|Rˢ₆(2)|Rˢ₅(2)|Rˢ₆(2)
S:(1/2,1/2,0)|S₁⁺(1)⊕S₂⁺(1)|S₁⁻(1)⊕S₂⁻(1)|S₃⁺(1)⊕S₄⁺(1)|S₃⁻(1)⊕S₄⁻(1)|S₁⁺(1)⊕S₂⁺(1)|S₁⁻(1)⊕S₂⁻(1)|S₃⁺(1)⊕S₄⁺(1)|S₃⁻(1)⊕S₄⁻(1)|S₃⁻(1)⊕S₄⁻(1)|S₃⁺(1)⊕S₄⁺(1)|S₁⁻(1)⊕S₂⁻(1)|S₁⁺(1)⊕S₂⁺(1)|S₃⁻(1)⊕S₄⁻(1)|S₃⁺(1)⊕S₄⁺(1)|S₁⁻(1)⊕S₂⁻(1)|S₁⁺(1)⊕S₂⁺(1)|Sˢ₅(2)|Sˢ₆(2)|Sˢ₅(2)|Sˢ₆(2)|Sˢ₅(2)|Sˢ₆(2)|Sˢ₅(2)|Sˢ₆(2)|Sˢ₆(2)|Sˢ₅(2)|Sˢ₆(2)|Sˢ₅(2)|Sˢ₆(2)|Sˢ₅(2)|Sˢ₆(2)|Sˢ₅(2)
T:(0,1/2,1/2)|T₂(2)|T₁(2)|T₁(2)|T₂(2)|T₁(2)|T₂(2)|T₂(2)|T₁(2)|T₂(2)|T₁(2)|T₁(2)|T₂(2)|T₁(2)|T₂(2)|T₂(2)|T₁(2)|Tˢ₃(2)|Tˢ₃(2)|Tˢ₄(2)|Tˢ₄(2)|Tˢ₃(2)|Tˢ₃(2)|Tˢ₄(2)|Tˢ₄(2)|Tˢ₄(2)|Tˢ₄(2)|Tˢ₃(2)|Tˢ₃(2)|Tˢ₄(2)|Tˢ₄(2)|Tˢ₃(2)|Tˢ₃(2)
U:(1/2,0,1/2)|U₁(2)|U₂(2)|U₂(2)|U₁(2)|U₂(2)|U₁(2)|U₁(2)|U₂(2)|U₁(2)|U₂(2)|U₂(2)|U₁(2)|U₂(2)|U₁(2)|U₁(2)|U₂(2)|Uˢ₃(2)|Uˢ₃(2)|Uˢ₄(2)|Uˢ₄(2)|Uˢ₃(2)|Uˢ₃(2)|Uˢ₄(2)|Uˢ₄(2)|Uˢ₃(2)|Uˢ₃(2)|Uˢ₄(2)|Uˢ₄(2)|Uˢ₃(2)|Uˢ₃(2)|Uˢ₄(2)|Uˢ₄(2)
X:(1/2,0,0)|X₁(2)|X₂(2)|X₂(2)|X₁(2)|X₁(2)|X₂(2)|X₂(2)|X₁(2)|X₁(2)|X₂(2)|X₂(2)|X₁(2)|X₁(2)|X₂(2)|X₂(2)|X₁(2)|Xˢ₃(2)|Xˢ₃(2)|Xˢ₄(2)|Xˢ₄(2)|Xˢ₃(2)|Xˢ₃(2)|Xˢ₄(2)|Xˢ₄(2)|Xˢ₃(2)|Xˢ₃(2)|Xˢ₄(2)|Xˢ₄(2)|Xˢ₃(2)|Xˢ₃(2)|Xˢ₄(2)|Xˢ₄(2)
Y:(0,1/2,0)|Y₂(2)|Y₁(2)|Y₁(2)|Y₂(2)|Y₂(2)|Y₁(2)|Y₁(2)|Y₂(2)|Y₂(2)|Y₁(2)|Y₁(2)|Y₂(2)|Y₂(2)|Y₁(2)|Y₁(2)|Y₂(2)|Yˢ₃(2)|Yˢ₃(2)|Yˢ₄(2)|Yˢ₄(2)|Yˢ₃(2)|Yˢ₃(2)|Yˢ₄(2)|Yˢ₄(2)|Yˢ₄(2)|Yˢ₄(2)|Yˢ₃(2)|Yˢ₃(2)|Yˢ₄(2)|Yˢ₄(2)|Yˢ₃(2)|Yˢ₃(2)
