Wyckoff pos.|2a(2)|2a(2)|2b(2)|2b(2)|2c(2)|2c(2)|2d(2)|2d(2)|2a(2)|2a(2)|2b(2)|2b(2)|2c(2)|2c(2)|2d(2)|2d(2)
Band-Rep.|A↑G(2)|B↑G(2)|A↑G(2)|B↑G(2)|A↑G(2)|B↑G(2)|A↑G(2)|B↑G(2)|¹Eˢ↑G(2)|²Eˢ↑G(2)|¹Eˢ↑G(2)|²Eˢ↑G(2)|¹Eˢ↑G(2)|²Eˢ↑G(2)|¹Eˢ↑G(2)|²Eˢ↑G(2)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false
Γ:(0,0,0)|Γ₁(1)⊕Γ₃(1)|Γ₂(1)⊕Γ₄(1)|Γ₁(1)⊕Γ₃(1)|Γ₂(1)⊕Γ₄(1)|Γ₁(1)⊕Γ₄(1)|Γ₂(1)⊕Γ₃(1)|Γ₁(1)⊕Γ₄(1)|Γ₂(1)⊕Γ₃(1)|Γˢ₅(2)|Γˢ₅(2)|Γˢ₅(2)|Γˢ₅(2)|Γˢ₅(2)|Γˢ₅(2)|Γˢ₅(2)|Γˢ₅(2)
R:(1/2,1/2,1/2)|R₁(2)|R₁(2)|R₁(2)|R₁(2)|R₁(2)|R₁(2)|R₁(2)|R₁(2)|Rˢ₄(1)⊕Rˢ₅(1)|Rˢ₂(1)⊕Rˢ₃(1)|Rˢ₂(1)⊕Rˢ₃(1)|Rˢ₄(1)⊕Rˢ₅(1)|Rˢ₃(1)⊕Rˢ₄(1)|Rˢ₂(1)⊕Rˢ₅(1)|Rˢ₂(1)⊕Rˢ₅(1)|Rˢ₃(1)⊕Rˢ₄(1)
S:(1/2,1/2,0)|S₁(1)⊕S₃(1)|S₂(1)⊕S₄(1)|S₂(1)⊕S₄(1)|S₁(1)⊕S₃(1)|S₁(1)⊕S₄(1)|S₂(1)⊕S₃(1)|S₂(1)⊕S₃(1)|S₁(1)⊕S₄(1)|Sˢ₅(2)|Sˢ₅(2)|Sˢ₅(2)|Sˢ₅(2)|Sˢ₅(2)|Sˢ₅(2)|Sˢ₅(2)|Sˢ₅(2)
T:(0,1/2,1/2)|T₁(2)|T₁(2)|T₁(2)|T₁(2)|T₁(2)|T₁(2)|T₁(2)|T₁(2)|Tˢ₄(1)⊕Tˢ₅(1)|Tˢ₂(1)⊕Tˢ₃(1)|Tˢ₂(1)⊕Tˢ₃(1)|Tˢ₄(1)⊕Tˢ₅(1)|Tˢ₃(1)⊕Tˢ₄(1)|Tˢ₂(1)⊕Tˢ₅(1)|Tˢ₃(1)⊕Tˢ₄(1)|Tˢ₂(1)⊕Tˢ₅(1)
U:(1/2,0,1/2)|U₁(2)|U₁(2)|U₁(2)|U₁(2)|U₁(2)|U₁(2)|U₁(2)|U₁(2)|Uˢ₄(1)⊕Uˢ₅(1)|Uˢ₂(1)⊕Uˢ₃(1)|Uˢ₄(1)⊕Uˢ₅(1)|Uˢ₂(1)⊕Uˢ₃(1)|Uˢ₃(1)⊕Uˢ₄(1)|Uˢ₂(1)⊕Uˢ₅(1)|Uˢ₂(1)⊕Uˢ₅(1)|Uˢ₃(1)⊕Uˢ₄(1)
X:(1/2,0,0)|X₁(1)⊕X₃(1)|X₂(1)⊕X₄(1)|X₁(1)⊕X₃(1)|X₂(1)⊕X₄(1)|X₁(1)⊕X₄(1)|X₂(1)⊕X₃(1)|X₂(1)⊕X₃(1)|X₁(1)⊕X₄(1)|Xˢ₅(2)|Xˢ₅(2)|Xˢ₅(2)|Xˢ₅(2)|Xˢ₅(2)|Xˢ₅(2)|Xˢ₅(2)|Xˢ₅(2)
Y:(0,1/2,0)|Y₁(1)⊕Y₃(1)|Y₂(1)⊕Y₄(1)|Y₂(1)⊕Y₄(1)|Y₁(1)⊕Y₃(1)|Y₁(1)⊕Y₄(1)|Y₂(1)⊕Y₃(1)|Y₁(1)⊕Y₄(1)|Y₂(1)⊕Y₃(1)|Yˢ₅(2)|Yˢ₅(2)|Yˢ₅(2)|Yˢ₅(2)|Yˢ₅(2)|Yˢ₅(2)|Yˢ₅(2)|Yˢ₅(2)
Z:(0,0,1/2)|Z₁(2)|Z₁(2)|Z₁(2)|Z₁(2)|Z₁(2)|Z₁(2)|Z₁(2)|Z₁(2)|Zˢ₄(1)⊕Zˢ₅(1)|Zˢ₂(1)⊕Zˢ₃(1)|Zˢ₄(1)⊕Zˢ₅(1)|Zˢ₂(1)⊕Zˢ₃(1)|Zˢ₃(1)⊕Zˢ₄(1)|Zˢ₂(1)⊕Zˢ₅(1)|Zˢ₃(1)⊕Zˢ₄(1)|Zˢ₂(1)⊕Zˢ₅(1)
