Wyckoff pos.|4a(-1)|4a(-1)|4b(-1)|4b(-1)|4a(-1)|4a(-1)|4b(-1)|4b(-1)
Band-Rep.|Ag↑G(4)|Aᵤ↑G(4)|Ag↑G(4)|Aᵤ↑G(4)|Aˢg↑G(4)|Aˢᵤ↑G(4)|Aˢg↑G(4)|Aˢᵤ↑G(4)
Decomposable|false|false|false|false|false|false|false|false
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₂⁺(1)⊕Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)⊕Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)⊕Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)⊕Γ₃⁻(1)⊕Γ₄⁻(1)|2Γˢ₅(2)|2Γˢ₆(2)|2Γˢ₅(2)|2Γˢ₆(2)
R:(1/2,1/2,1/2)|2R₁⁺(2)|2R₁⁻(2)|2R₁⁻(2)|2R₁⁺(2)|Rˢ₂(1)⊕Rˢ₃(1)⊕Rˢ₄(1)⊕Rˢ₅(1)|Rˢ₆(1)⊕Rˢ₇(1)⊕Rˢ₈(1)⊕Rˢ₉(1)|Rˢ₆(1)⊕Rˢ₇(1)⊕Rˢ₈(1)⊕Rˢ₉(1)|Rˢ₂(1)⊕Rˢ₃(1)⊕Rˢ₄(1)⊕Rˢ₅(1)
S:(1/2,1/2,0)|S₁(2)⊕S₂(2)|S₁(2)⊕S₂(2)|S₁(2)⊕S₂(2)|S₁(2)⊕S₂(2)|Sˢ₃(2)⊕Sˢ₄(2)|Sˢ₃(2)⊕Sˢ₄(2)|Sˢ₃(2)⊕Sˢ₄(2)|Sˢ₃(2)⊕Sˢ₄(2)
T:(0,1/2,1/2)|T₁(2)⊕T₂(2)|T₁(2)⊕T₂(2)|T₁(2)⊕T₂(2)|T₁(2)⊕T₂(2)|Tˢ₃(2)⊕Tˢ₄(2)|Tˢ₃(2)⊕Tˢ₄(2)|Tˢ₃(2)⊕Tˢ₄(2)|Tˢ₃(2)⊕Tˢ₄(2)
U:(1/2,0,1/2)|U₁(2)⊕U₂(2)|U₁(2)⊕U₂(2)|U₁(2)⊕U₂(2)|U₁(2)⊕U₂(2)|Uˢ₃(2)⊕Uˢ₄(2)|Uˢ₃(2)⊕Uˢ₄(2)|Uˢ₃(2)⊕Uˢ₄(2)|Uˢ₃(2)⊕Uˢ₄(2)
X:(1/2,0,0)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|Xˢ₃(2)⊕Xˢ₄(2)|Xˢ₃(2)⊕Xˢ₄(2)|Xˢ₃(2)⊕Xˢ₄(2)|Xˢ₃(2)⊕Xˢ₄(2)
Y:(0,1/2,0)|Y₁(2)⊕Y₂(2)|Y₁(2)⊕Y₂(2)|Y₁(2)⊕Y₂(2)|Y₁(2)⊕Y₂(2)|Yˢ₃(2)⊕Yˢ₄(2)|Yˢ₃(2)⊕Yˢ₄(2)|Yˢ₃(2)⊕Yˢ₄(2)|Yˢ₃(2)⊕Yˢ₄(2)
Z:(0,0,1/2)|Z₁(2)⊕Z₂(2)|Z₁(2)⊕Z₂(2)|Z₁(2)⊕Z₂(2)|Z₁(2)⊕Z₂(2)|Zˢ₃(2)⊕Zˢ₄(2)|Zˢ₃(2)⊕Zˢ₄(2)|Zˢ₃(2)⊕Zˢ₄(2)|Zˢ₃(2)⊕Zˢ₄(2)
