Wyckoff pos.|2a(mmm)|2a(mmm)|2a(mmm)|2a(mmm)|2a(mmm)|2a(mmm)|2a(mmm)|2a(mmm)|2b(mmm)|2b(mmm)|2b(mmm)|2b(mmm)|2b(mmm)|2b(mmm)|2b(mmm)|2b(mmm)|2c(mmm)|2c(mmm)|2c(mmm)|2c(mmm)|2c(mmm)|2c(mmm)|2c(mmm)|2c(mmm)|2d(mmm)|2d(mmm)|2d(mmm)|2d(mmm)|2d(mmm)|2d(mmm)|2d(mmm)|2d(mmm)|2e(-42m)|2e(-42m)|2e(-42m)|2e(-42m)|2f(-42m)|2f(-42m)|2f(-42m)|2f(-42m)|2a(mmm)|2a(mmm)|2b(mmm)|2b(mmm)|2c(mmm)|2c(mmm)|2d(mmm)|2d(mmm)|2e(-42m)|2e(-42m)|2f(-42m)|2f(-42m)
Band-Rep.|Ag↑G(2)|Aᵤ↑G(2)|B₁g↑G(2)|B₁ᵤ↑G(2)|B₂g↑G(2)|B₂ᵤ↑G(2)|B₃g↑G(2)|B₃ᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|B₁g↑G(2)|B₁ᵤ↑G(2)|B₂g↑G(2)|B₂ᵤ↑G(2)|B₃g↑G(2)|B₃ᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|B₁g↑G(2)|B₁ᵤ↑G(2)|B₂g↑G(2)|B₂ᵤ↑G(2)|B₃g↑G(2)|B₃ᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|B₁g↑G(2)|B₁ᵤ↑G(2)|B₂g↑G(2)|B₂ᵤ↑G(2)|B₃g↑G(2)|B₃ᵤ↑G(2)|A₁↑G(2)|A₂↑G(2)|B₁↑G(2)|B₂↑G(2)|A₁↑G(2)|A₂↑G(2)|B₁↑G(2)|B₂↑G(2)|Eˢg↑G(4)|Eˢᵤ↑G(4)|Eˢg↑G(4)|Eˢᵤ↑G(4)|Eˢg↑G(4)|Eˢᵤ↑G(4)|Eˢg↑G(4)|Eˢᵤ↑G(4)|Eˢ₁↑G(4)|Eˢ₂↑G(4)|Eˢ₁↑G(4)|Eˢ₂↑G(4)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false
A:(1/2,1/2,1/2)|A₁(2)|A₂(2)|A₂(2)|A₁(2)|A₄(2)|A₄(2)|A₃(2)|A₃(2)|A₂(2)|A₁(2)|A₁(2)|A₂(2)|A₃(2)|A₃(2)|A₄(2)|A₄(2)|A₄(2)|A₄(2)|A₃(2)|A₃(2)|A₂(2)|A₁(2)|A₁(2)|A₂(2)|A₃(2)|A₃(2)|A₄(2)|A₄(2)|A₂(2)|A₁(2)|A₁(2)|A₂(2)|A₁(2)|A₂(2)|A₁(2)|A₂(2)|A₂(2)|A₁(2)|A₂(2)|A₁(2)|Aˢ₅(4)|Aˢ₅(4)|Aˢ₅(4)|Aˢ₅(4)|Aˢ₅(4)|Aˢ₅(4)|Aˢ₅(4)|Aˢ₅(4)|Aˢ₅(4)|Aˢ₅(4)|Aˢ₅(4)|Aˢ₅(4)
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₅⁺(2)|Γ₅⁻(2)|Γ₅⁺(2)|Γ₅⁻(2)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₅⁺(2)|Γ₅⁻(2)|Γ₅⁺(2)|Γ₅⁻(2)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₅⁺(2)|Γ₅⁻(2)|Γ₅⁺(2)|Γ₅⁻(2)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₅⁺(2)|Γ₅⁻(2)|Γ₅⁺(2)|Γ₅⁻(2)|Γ₁⁺(1)⊕Γ₄⁻(1)|Γ₁⁻(1)⊕Γ₄⁺(1)|Γ₂⁺(1)⊕Γ₃⁻(1)|Γ₂⁻(1)⊕Γ₃⁺(1)|Γ₁⁺(1)⊕Γ₄⁻(1)|Γ₁⁻(1)⊕Γ₄⁺(1)|Γ₂⁺(1)⊕Γ₃⁻(1)|Γ₂⁻(1)⊕Γ₃⁺(1)|Γˢ₆(2)⊕Γˢ₇(2)|Γˢ₈(2)⊕Γˢ₉(2)|Γˢ₆(2)⊕Γˢ₇(2)|Γˢ₈(2)⊕Γˢ₉(2)|Γˢ₆(2)⊕Γˢ₇(2)|Γˢ₈(2)⊕Γˢ₉(2)|Γˢ₆(2)⊕Γˢ₇(2)|Γˢ₈(2)⊕Γˢ₉(2)|Γˢ₇(2)⊕Γˢ₈(2)|Γˢ₆(2)⊕Γˢ₉(2)|Γˢ₇(2)⊕Γˢ₈(2)|Γˢ₆(2)⊕Γˢ₉(2)
M:(1/2,1/2,0)|M₁⁺(1)⊕M₂⁺(1)|M₁⁻(1)⊕M₂⁻(1)|M₃⁺(1)⊕M₄⁺(1)|M₃⁻(1)⊕M₄⁻(1)|M₅⁺(2)|M₅⁻(2)|M₅⁺(2)|M₅⁻(2)|M₃⁺(1)⊕M₄⁺(1)|M₃⁻(1)⊕M₄⁻(1)|M₁⁺(1)⊕M₂⁺(1)|M₁⁻(1)⊕M₂⁻(1)|M₅⁺(2)|M₅⁻(2)|M₅⁺(2)|M₅⁻(2)|M₅⁻(2)|M₅⁺(2)|M₅⁻(2)|M₅⁺(2)|M₁⁻(1)⊕M₂⁻(1)|M₁⁺(1)⊕M₂⁺(1)|M₃⁻(1)⊕M₄⁻(1)|M₃⁺(1)⊕M₄⁺(1)|M₅⁻(2)|M₅⁺(2)|M₅⁻(2)|M₅⁺(2)|M₁⁻(1)⊕M₂⁻(1)|M₁⁺(1)⊕M₂⁺(1)|M₃⁻(1)⊕M₄⁻(1)|M₃⁺(1)⊕M₄⁺(1)|M₁⁺(1)⊕M₄⁻(1)|M₁⁻(1)⊕M₄⁺(1)|M₂⁺(1)⊕M₃⁻(1)|M₂⁻(1)⊕M₃⁺(1)|M₁⁻(1)⊕M₄⁺(1)|M₁⁺(1)⊕M₄⁻(1)|M₂⁻(1)⊕M₃⁺(1)|M₂⁺(1)⊕M₃⁻(1)|Mˢ₆(2)⊕Mˢ₇(2)|Mˢ₈(2)⊕Mˢ₉(2)|Mˢ₆(2)⊕Mˢ₇(2)|Mˢ₈(2)⊕Mˢ₉(2)|Mˢ₈(2)⊕Mˢ₉(2)|Mˢ₆(2)⊕Mˢ₇(2)|Mˢ₈(2)⊕Mˢ₉(2)|Mˢ₆(2)⊕Mˢ₇(2)|Mˢ₇(2)⊕Mˢ₈(2)|Mˢ₆(2)⊕Mˢ₉(2)|Mˢ₆(2)⊕Mˢ₉(2)|Mˢ₇(2)⊕Mˢ₈(2)
Z:(0,0,1/2)|Z₁(2)|Z₂(2)|Z₂(2)|Z₁(2)|Z₄(2)|Z₄(2)|Z₃(2)|Z₃(2)|Z₁(2)|Z₂(2)|Z₂(2)|Z₁(2)|Z₄(2)|Z₄(2)|Z₃(2)|Z₃(2)|Z₁(2)|Z₂(2)|Z₂(2)|Z₁(2)|Z₄(2)|Z₄(2)|Z₃(2)|Z₃(2)|Z₁(2)|Z₂(2)|Z₂(2)|Z₁(2)|Z₃(2)|Z₃(2)|Z₄(2)|Z₄(2)|Z₁(2)|Z₂(2)|Z₁(2)|Z₂(2)|Z₁(2)|Z₂(2)|Z₁(2)|Z₂(2)|Zˢ₅(4)|Zˢ₅(4)|Zˢ₅(4)|Zˢ₅(4)|Zˢ₅(4)|Zˢ₅(4)|Zˢ₅(4)|Zˢ₅(4)|Zˢ₅(4)|Zˢ₅(4)|Zˢ₅(4)|Zˢ₅(4)
R:(0,1/2,1/2)|R₁⁺(1)⊕R₂⁻(1)|R₁⁻(1)⊕R₂⁺(1)|R₁⁻(1)⊕R₂⁺(1)|R₁⁺(1)⊕R₂⁻(1)|R₄⁺(1)⊕R₄⁻(1)|R₄⁺(1)⊕R₄⁻(1)|R₃⁺(1)⊕R₃⁻(1)|R₃⁺(1)⊕R₃⁻(1)|R₃⁺(1)⊕R₄⁻(1)|R₃⁻(1)⊕R₄⁺(1)|R₃⁻(1)⊕R₄⁺(1)|R₃⁺(1)⊕R₄⁻(1)|R₁⁺(1)⊕R₁⁻(1)|R₁⁺(1)⊕R₁⁻(1)|R₂⁺(1)⊕R₂⁻(1)|R₂⁺(1)⊕R₂⁻(1)|R₂⁻(1)⊕R₄⁻(1)|R₂⁺(1)⊕R₄⁺(1)|R₁⁻(1)⊕R₃⁻(1)|R₁⁺(1)⊕R₃⁺(1)|R₁⁻(1)⊕R₄⁻(1)|R₁⁺(1)⊕R₄⁺(1)|R₂⁻(1)⊕R₃⁻(1)|R₂⁺(1)⊕R₃⁺(1)|R₁⁺(1)⊕R₃⁺(1)|R₁⁻(1)⊕R₃⁻(1)|R₂⁺(1)⊕R₄⁺(1)|R₂⁻(1)⊕R₄⁻(1)|R₂⁺(1)⊕R₃⁺(1)|R₂⁻(1)⊕R₃⁻(1)|R₁⁺(1)⊕R₄⁺(1)|R₁⁻(1)⊕R₄⁻(1)|R₁⁺(1)⊕R₂⁻(1)|R₁⁻(1)⊕R₂⁺(1)|R₁⁺(1)⊕R₂⁻(1)|R₁⁻(1)⊕R₂⁺(1)|R₃⁺(1)⊕R₄⁻(1)|R₃⁻(1)⊕R₄⁺(1)|R₃⁺(1)⊕R₄⁻(1)|R₃⁻(1)⊕R₄⁺(1)|Rˢ₅(2)⊕Rˢ₆(2)|Rˢ₅(2)⊕Rˢ₆(2)|Rˢ₅(2)⊕Rˢ₆(2)|Rˢ₅(2)⊕Rˢ₆(2)|2Rˢ₆(2)|2Rˢ₅(2)|2Rˢ₅(2)|2Rˢ₆(2)|Rˢ₅(2)⊕Rˢ₆(2)|Rˢ₅(2)⊕Rˢ₆(2)|Rˢ₅(2)⊕Rˢ₆(2)|Rˢ₅(2)⊕Rˢ₆(2)
X:(0,1/2,0)|2X₁⁺(1)|2X₁⁻(1)|2X₂⁺(1)|2X₂⁻(1)|X₃⁺(1)⊕X₄⁺(1)|X₃⁻(1)⊕X₄⁻(1)|X₃⁺(1)⊕X₄⁺(1)|X₃⁻(1)⊕X₄⁻(1)|2X₄⁻(1)|2X₄⁺(1)|2X₃⁻(1)|2X₃⁺(1)|X₁⁻(1)⊕X₂⁻(1)|X₁⁺(1)⊕X₂⁺(1)|X₁⁻(1)⊕X₂⁻(1)|X₁⁺(1)⊕X₂⁺(1)|X₁⁺(1)⊕X₄⁻(1)|X₁⁻(1)⊕X₄⁺(1)|X₂⁺(1)⊕X₃⁻(1)|X₂⁻(1)⊕X₃⁺(1)|X₁⁻(1)⊕X₃⁺(1)|X₁⁺(1)⊕X₃⁻(1)|X₂⁻(1)⊕X₄⁺(1)|X₂⁺(1)⊕X₄⁻(1)|X₁⁺(1)⊕X₄⁻(1)|X₁⁻(1)⊕X₄⁺(1)|X₂⁺(1)⊕X₃⁻(1)|X₂⁻(1)⊕X₃⁺(1)|X₁⁻(1)⊕X₃⁺(1)|X₁⁺(1)⊕X₃⁻(1)|X₂⁻(1)⊕X₄⁺(1)|X₂⁺(1)⊕X₄⁻(1)|X₁⁺(1)⊕X₂⁻(1)|X₁⁻(1)⊕X₂⁺(1)|X₁⁺(1)⊕X₂⁻(1)|X₁⁻(1)⊕X₂⁺(1)|X₃⁺(1)⊕X₄⁻(1)|X₃⁻(1)⊕X₄⁺(1)|X₃⁺(1)⊕X₄⁻(1)|X₃⁻(1)⊕X₄⁺(1)|2Xˢ₅(2)|2Xˢ₆(2)|2Xˢ₆(2)|2Xˢ₅(2)|Xˢ₅(2)⊕Xˢ₆(2)|Xˢ₅(2)⊕Xˢ₆(2)|Xˢ₅(2)⊕Xˢ₆(2)|Xˢ₅(2)⊕Xˢ₆(2)|Xˢ₅(2)⊕Xˢ₆(2)|Xˢ₅(2)⊕Xˢ₆(2)|Xˢ₅(2)⊕Xˢ₆(2)|Xˢ₅(2)⊕Xˢ₆(2)
Λ:(0,0,w)|Λ₁(1)⊕Λ₂(1)|Λ₃(1)⊕Λ₄(1)|Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)|Λ₅(2)|Λ₅(2)|Λ₅(2)|Λ₅(2)|Λ₁(1)⊕Λ₂(1)|Λ₃(1)⊕Λ₄(1)|Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)|Λ₅(2)|Λ₅(2)|Λ₅(2)|Λ₅(2)|Λ₁(1)⊕Λ₂(1)|Λ₃(1)⊕Λ₄(1)|Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)|Λ₅(2)|Λ₅(2)|Λ₅(2)|Λ₅(2)|Λ₁(1)⊕Λ₂(1)|Λ₃(1)⊕Λ₄(1)|Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)|Λ₅(2)|Λ₅(2)|Λ₅(2)|Λ₅(2)|Λ₁(1)⊕Λ₂(1)|Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)|Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)|Λ₃(1)⊕Λ₄(1)|Λ₁(1)⊕Λ₂(1)|Λ₃(1)⊕Λ₄(1)|Λˢ₆(2)⊕Λˢ₇(2)|Λˢ₆(2)⊕Λˢ₇(2)|Λˢ₆(2)⊕Λˢ₇(2)|Λˢ₆(2)⊕Λˢ₇(2)|Λˢ₆(2)⊕Λˢ₇(2)|Λˢ₆(2)⊕Λˢ₇(2)|Λˢ₆(2)⊕Λˢ₇(2)|Λˢ₆(2)⊕Λˢ₇(2)|Λˢ₆(2)⊕Λˢ₇(2)|Λˢ₆(2)⊕Λˢ₇(2)|Λˢ₆(2)⊕Λˢ₇(2)|Λˢ₆(2)⊕Λˢ₇(2)
