Wyckoff pos.|2a(2/m)|2a(2/m)|2a(2/m)|2a(2/m)|2b(2/m)|2b(2/m)|2b(2/m)|2b(2/m)|2c(2/m)|2c(2/m)|2c(2/m)|2c(2/m)|2d(2/m)|2d(2/m)|2d(2/m)|2d(2/m)|2e(222)|2e(222)|2e(222)|2e(222)|2f(222)|2f(222)|2f(222)|2f(222)|2g(222)|2g(222)|2g(222)|2g(222)|2h(222)|2h(222)|2h(222)|2h(222)|2a(2/m)|2a(2/m)|2b(2/m)|2b(2/m)|2c(2/m)|2c(2/m)|2d(2/m)|2d(2/m)|2e(222)|2f(222)|2g(222)|2h(222)
Band-Rep.|Ag↑G(2)|Aᵤ↑G(2)|Bg↑G(2)|Bᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|Bg↑G(2)|Bᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|Bg↑G(2)|Bᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|Bg↑G(2)|Bᵤ↑G(2)|A₁↑G(2)|B₁↑G(2)|B₂↑G(2)|B₃↑G(2)|A₁↑G(2)|B₁↑G(2)|B₂↑G(2)|B₃↑G(2)|A₁↑G(2)|B₁↑G(2)|B₂↑G(2)|B₃↑G(2)|A₁↑G(2)|B₁↑G(2)|B₂↑G(2)|B₃↑G(2)|¹Eˢg²Eˢg↑G(4)|¹Eˢᵤ²Eˢᵤ↑G(4)|¹Eˢg²Eˢg↑G(4)|¹Eˢᵤ²Eˢᵤ↑G(4)|¹Eˢg²Eˢg↑G(4)|¹Eˢᵤ²Eˢᵤ↑G(4)|¹Eˢg²Eˢg↑G(4)|¹Eˢᵤ²Eˢᵤ↑G(4)|Eˢ↑G(4)|Eˢ↑G(4)|Eˢ↑G(4)|Eˢ↑G(4)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₁⁻(1)|Γ₂⁺(1)⊕Γ₂⁻(1)|Γ₄⁺(1)⊕Γ₄⁻(1)|Γ₃⁺(1)⊕Γ₃⁻(1)|Γ₁⁺(1)⊕Γ₁⁻(1)|Γ₂⁺(1)⊕Γ₂⁻(1)|Γ₄⁺(1)⊕Γ₄⁻(1)|Γ₃⁺(1)⊕Γ₃⁻(1)|Γ₁⁺(1)⊕Γ₁⁻(1)|Γ₂⁺(1)⊕Γ₂⁻(1)|Γ₄⁺(1)⊕Γ₄⁻(1)|Γ₃⁺(1)⊕Γ₃⁻(1)|Γ₁⁺(1)⊕Γ₁⁻(1)|Γ₂⁺(1)⊕Γ₂⁻(1)|Γ₄⁺(1)⊕Γ₄⁻(1)|Γ₃⁺(1)⊕Γ₃⁻(1)|2Γˢ₅(2)|2Γˢ₆(2)|2Γˢ₅(2)|2Γˢ₆(2)|2Γˢ₅(2)|2Γˢ₆(2)|2Γˢ₅(2)|2Γˢ₆(2)|Γˢ₅(2)⊕Γˢ₆(2)|Γˢ₅(2)⊕Γˢ₆(2)|Γˢ₅(2)⊕Γˢ₆(2)|Γˢ₅(2)⊕Γˢ₆(2)
R:(1/2,1/2,1/2)|R₁(2)|R₁(2)|R₂(2)|R₂(2)|R₁(2)|R₁(2)|R₂(2)|R₂(2)|R₂(2)|R₂(2)|R₁(2)|R₁(2)|R₂(2)|R₂(2)|R₁(2)|R₁(2)|R₁(2)|R₁(2)|R₂(2)|R₂(2)|R₂(2)|R₂(2)|R₁(2)|R₁(2)|R₂(2)|R₂(2)|R₁(2)|R₁(2)|R₁(2)|R₁(2)|R₂(2)|R₂(2)|Rˢ₃Rˢ₄(4)|Rˢ₃Rˢ₄(4)|Rˢ₃Rˢ₄(4)|Rˢ₃Rˢ₄(4)|Rˢ₃Rˢ₄(4)|Rˢ₃Rˢ₄(4)|Rˢ₃Rˢ₄(4)|Rˢ₃Rˢ₄(4)|Rˢ₃Rˢ₄(4)|Rˢ₃Rˢ₄(4)|Rˢ₃Rˢ₄(4)|Rˢ₃Rˢ₄(4)
S:(1/2,1/2,0)|S₁⁺(1)⊕S₂⁺(1)|S₁⁻(1)⊕S₂⁻(1)|S₃⁺(1)⊕S₄⁺(1)|S₃⁻(1)⊕S₄⁻(1)|S₁⁺(1)⊕S₂⁺(1)|S₁⁻(1)⊕S₂⁻(1)|S₃⁺(1)⊕S₄⁺(1)|S₃⁻(1)⊕S₄⁻(1)|S₃⁻(1)⊕S₄⁻(1)|S₃⁺(1)⊕S₄⁺(1)|S₁⁻(1)⊕S₂⁻(1)|S₁⁺(1)⊕S₂⁺(1)|S₃⁻(1)⊕S₄⁻(1)|S₃⁺(1)⊕S₄⁺(1)|S₁⁻(1)⊕S₂⁻(1)|S₁⁺(1)⊕S₂⁺(1)|S₁⁺(1)⊕S₁⁻(1)|S₂⁺(1)⊕S₂⁻(1)|S₄⁺(1)⊕S₄⁻(1)|S₃⁺(1)⊕S₃⁻(1)|S₃⁺(1)⊕S₃⁻(1)|S₄⁺(1)⊕S₄⁻(1)|S₂⁺(1)⊕S₂⁻(1)|S₁⁺(1)⊕S₁⁻(1)|S₄⁺(1)⊕S₄⁻(1)|S₃⁺(1)⊕S₃⁻(1)|S₁⁺(1)⊕S₁⁻(1)|S₂⁺(1)⊕S₂⁻(1)|S₂⁺(1)⊕S₂⁻(1)|S₁⁺(1)⊕S₁⁻(1)|S₃⁺(1)⊕S₃⁻(1)|S₄⁺(1)⊕S₄⁻(1)|2Sˢ₅(2)|2Sˢ₆(2)|2Sˢ₅(2)|2Sˢ₆(2)|2Sˢ₆(2)|2Sˢ₅(2)|2Sˢ₆(2)|2Sˢ₅(2)|Sˢ₅(2)⊕Sˢ₆(2)|Sˢ₅(2)⊕Sˢ₆(2)|Sˢ₅(2)⊕Sˢ₆(2)|Sˢ₅(2)⊕Sˢ₆(2)
T:(0,1/2,1/2)|T₁(2)|T₁(2)|T₂(2)|T₂(2)|T₂(2)|T₂(2)|T₁(2)|T₁(2)|T₂(2)|T₂(2)|T₁(2)|T₁(2)|T₁(2)|T₁(2)|T₂(2)|T₂(2)|T₁(2)|T₁(2)|T₂(2)|T₂(2)|T₁(2)|T₁(2)|T₂(2)|T₂(2)|T₂(2)|T₂(2)|T₁(2)|T₁(2)|T₂(2)|T₂(2)|T₁(2)|T₁(2)|Tˢ₃Tˢ₄(4)|Tˢ₃Tˢ₄(4)|Tˢ₃Tˢ₄(4)|Tˢ₃Tˢ₄(4)|Tˢ₃Tˢ₄(4)|Tˢ₃Tˢ₄(4)|Tˢ₃Tˢ₄(4)|Tˢ₃Tˢ₄(4)|Tˢ₃Tˢ₄(4)|Tˢ₃Tˢ₄(4)|Tˢ₃Tˢ₄(4)|Tˢ₃Tˢ₄(4)
U:(1/2,0,1/2)|U₁(2)|U₁(2)|U₂(2)|U₂(2)|U₂(2)|U₂(2)|U₁(2)|U₁(2)|U₁(2)|U₁(2)|U₂(2)|U₂(2)|U₂(2)|U₂(2)|U₁(2)|U₁(2)|U₁(2)|U₁(2)|U₂(2)|U₂(2)|U₂(2)|U₂(2)|U₁(2)|U₁(2)|U₁(2)|U₁(2)|U₂(2)|U₂(2)|U₂(2)|U₂(2)|U₁(2)|U₁(2)|Uˢ₃Uˢ₄(4)|Uˢ₃Uˢ₄(4)|Uˢ₃Uˢ₄(4)|Uˢ₃Uˢ₄(4)|Uˢ₃Uˢ₄(4)|Uˢ₃Uˢ₄(4)|Uˢ₃Uˢ₄(4)|Uˢ₃Uˢ₄(4)|Uˢ₃Uˢ₄(4)|Uˢ₃Uˢ₄(4)|Uˢ₃Uˢ₄(4)|Uˢ₃Uˢ₄(4)
X:(1/2,0,0)|X₁⁺(1)⊕X₂⁺(1)|X₁⁻(1)⊕X₂⁻(1)|X₃⁺(1)⊕X₄⁺(1)|X₃⁻(1)⊕X₄⁻(1)|X₃⁻(1)⊕X₄⁻(1)|X₃⁺(1)⊕X₄⁺(1)|X₁⁻(1)⊕X₂⁻(1)|X₁⁺(1)⊕X₂⁺(1)|X₁⁺(1)⊕X₂⁺(1)|X₁⁻(1)⊕X₂⁻(1)|X₃⁺(1)⊕X₄⁺(1)|X₃⁻(1)⊕X₄⁻(1)|X₃⁻(1)⊕X₄⁻(1)|X₃⁺(1)⊕X₄⁺(1)|X₁⁻(1)⊕X₂⁻(1)|X₁⁺(1)⊕X₂⁺(1)|X₁⁺(1)⊕X₁⁻(1)|X₂⁺(1)⊕X₂⁻(1)|X₄⁺(1)⊕X₄⁻(1)|X₃⁺(1)⊕X₃⁻(1)|X₃⁺(1)⊕X₃⁻(1)|X₄⁺(1)⊕X₄⁻(1)|X₂⁺(1)⊕X₂⁻(1)|X₁⁺(1)⊕X₁⁻(1)|X₁⁺(1)⊕X₁⁻(1)|X₂⁺(1)⊕X₂⁻(1)|X₄⁺(1)⊕X₄⁻(1)|X₃⁺(1)⊕X₃⁻(1)|X₃⁺(1)⊕X₃⁻(1)|X₄⁺(1)⊕X₄⁻(1)|X₂⁺(1)⊕X₂⁻(1)|X₁⁺(1)⊕X₁⁻(1)|2Xˢ₅(2)|2Xˢ₆(2)|2Xˢ₆(2)|2Xˢ₅(2)|2Xˢ₅(2)|2Xˢ₆(2)|2Xˢ₆(2)|2Xˢ₅(2)|Xˢ₅(2)⊕Xˢ₆(2)|Xˢ₅(2)⊕Xˢ₆(2)|Xˢ₅(2)⊕Xˢ₆(2)|Xˢ₅(2)⊕Xˢ₆(2)
Y:(0,1/2,0)|Y₁⁺(1)⊕Y₂⁺(1)|Y₁⁻(1)⊕Y₂⁻(1)|Y₃⁺(1)⊕Y₄⁺(1)|Y₃⁻(1)⊕Y₄⁻(1)|Y₃⁻(1)⊕Y₄⁻(1)|Y₃⁺(1)⊕Y₄⁺(1)|Y₁⁻(1)⊕Y₂⁻(1)|Y₁⁺(1)⊕Y₂⁺(1)|Y₃⁻(1)⊕Y₄⁻(1)|Y₃⁺(1)⊕Y₄⁺(1)|Y₁⁻(1)⊕Y₂⁻(1)|Y₁⁺(1)⊕Y₂⁺(1)|Y₁⁺(1)⊕Y₂⁺(1)|Y₁⁻(1)⊕Y₂⁻(1)|Y₃⁺(1)⊕Y₄⁺(1)|Y₃⁻(1)⊕Y₄⁻(1)|Y₁⁺(1)⊕Y₁⁻(1)|Y₂⁺(1)⊕Y₂⁻(1)|Y₄⁺(1)⊕Y₄⁻(1)|Y₃⁺(1)⊕Y₃⁻(1)|Y₁⁺(1)⊕Y₁⁻(1)|Y₂⁺(1)⊕Y₂⁻(1)|Y₄⁺(1)⊕Y₄⁻(1)|Y₃⁺(1)⊕Y₃⁻(1)|Y₄⁺(1)⊕Y₄⁻(1)|Y₃⁺(1)⊕Y₃⁻(1)|Y₁⁺(1)⊕Y₁⁻(1)|Y₂⁺(1)⊕Y₂⁻(1)|Y₄⁺(1)⊕Y₄⁻(1)|Y₃⁺(1)⊕Y₃⁻(1)|Y₁⁺(1)⊕Y₁⁻(1)|Y₂⁺(1)⊕Y₂⁻(1)|2Yˢ₅(2)|2Yˢ₆(2)|2Yˢ₆(2)|2Yˢ₅(2)|2Yˢ₆(2)|2Yˢ₅(2)|2Yˢ₅(2)|2Yˢ₆(2)|Yˢ₅(2)⊕Yˢ₆(2)|Yˢ₅(2)⊕Yˢ₆(2)|Yˢ₅(2)⊕Yˢ₆(2)|Yˢ₅(2)⊕Yˢ₆(2)
