Wyckoff pos.|2b(mm2)|2b(mm2)|2b(mm2)|2b(mm2)|2a(4)|2a(4)|2a(4)|2a(4)
Band-Rep.|A₁↑G(2)|A₂↑G(2)|B₂↑G(2)|B₁↑G(2)|A↑G(2)|B↑G(2)|²E↑G(2)|¹E↑G(2)
Decomposable|false|false|false|false|false|false|false|false
Y:(α,0.5)|Y₁⊕Y₂|Y₁⊕Y₂|Y₁⊕Y₂|Y₁⊕Y₂|Y₁⊕Y₂|Y₁⊕Y₂|Y₁⊕Y₂|Y₁⊕Y₂
Δ:(0.0,α)|Δ₁⊕Δ₂|Δ₁⊕Δ₂|Δ₁⊕Δ₂|Δ₁⊕Δ₂|Δ₁⊕Δ₂|Δ₁⊕Δ₂|Δ₁⊕Δ₂|Δ₁⊕Δ₂
M:(0.5,0.5)|M₁⊕M₃|M₂⊕M₄|M₅|M₅|M₅|M₅|M₁⊕M₄|M₂⊕M₃
X:(0.0,0.5)|X₁|X₁|X₁|X₁|X₁|X₁|X₁|X₁
Σ:(α,α)|2Σ₁|2Σ₂|Σ₁⊕Σ₂|Σ₁⊕Σ₂|Σ₁⊕Σ₂|Σ₁⊕Σ₂|Σ₁⊕Σ₂|Σ₁⊕Σ₂
Γ:(0.0,0.0)|Γ₁⊕Γ₃|Γ₂⊕Γ₄|Γ₅|Γ₅|Γ₁⊕Γ₄|Γ₂⊕Γ₃|Γ₅|Γ₅
Ω:(α,β)|2Ω₁|2Ω₁|2Ω₁|2Ω₁|2Ω₁|2Ω₁|2Ω₁|2Ω₁
